"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","HND","D7","2019","1","70.04","9663.95","311.7","84.26","61.36","51.7","211.19","2040925","276.95","2676416","211.17","2040735","276.92","2676169","0.04","31","3.95","5349"
"KUL","HND","NH","2019","1","29.96","4133.95","133.4","54.19","40.8","22.11","438.86","1814229","517.7","2140136","403.1","1666391","475.8","1966915","16.35","31","7.54","5349"
"KUL","HND","D7","2019","2","68.7","9486.16","338.8","90.82","55.89","50.76","211.48","2006168","277.08","2628459","211.46","2005913","277.05","2628134","0.04","28","3.95","5351"
"KUL","HND","NH","2019","2","31.3","4322.38","154.4","62.75","36.86","23.13","436.13","1885100","516.42","2232160","395.96","1711504","467.14","2019140","25.28","28","7.4","5351"
"KUL","HND","D7","2019","3","68.34","10781.79","347.8","94","61.36","57.68","210.08","2265036","276.94","2985888","210.08","2265036","276.94","2985888","0","31","3.93","5349"
"KUL","HND","NH","2019","3","31.61","4986.11","160.8","65.64","40.63","26.67","498.09","2483516","584.72","2915455","461.71","2302139","542.16","2703254","15.75","31","8.63","5349"
"KUL","HND","AK","2019","3","0.05","7.9","0.3",,"0","0.04","204.86","1618","272.29","2151","193.79","1531","257.44","2034","47.74","0","3.62","5349"
"KUL","HND","D7","2019","4","76.71","10434","347.8","93.99","59.4","55.83","302.49","3156134","369.17","3851948","302.48","3156064","369.16","3851860","0.02","30","5.65","5351"
"KUL","HND","NH","2019","4","23.26","3164.06","105.5","49.06","34.51","16.93","445.17","1408540","519.9","1645011","403.73","1277438","471.49","1491821","15.72","30","7.54","5351"
"KUL","HND","AK","2019","4","0.03","3.74","0.1",,"0","0.02","289.23","1082","364.19","1362","255.57","956","321.8","1204","100","0","4.78","5351"
"KUL","HND","D7","2019","5","70.03","10188.45","328.7","88.82","61.36","54.5","294.48","3000331","360.56","3673513","294.48","3000331","360.56","3673513","0","31","5.5","5349"
"KUL","HND","NH","2019","5","29.97","4361.02","140.7","57.18","40.8","23.33","467.48","2038692","530.55","2313719","430.24","1876279","488.71","2131267","15.29","31","8.04","5349"
"KUL","HND","D7","2019","6","72.8","10434","347.8","94","59.38","55.82","278.96","2910628","343.37","3582700","278.93","2910318","343.33","3582316","0.05","30","5.21","5349"
"KUL","HND","NH","2019","6","27.2","3898.9","130","52.84","39.48","20.86","462.9","1804798","532.01","2074241","427.01","1664854","489.54","1908660","14.44","30","7.98","5349"
"KUL","HND","D7","2019","7","69.48","10781.8","347.8","94","61.36","57.68","232.86","2510605","292.55","3154245","232.84","2510415","292.53","3153996","0.05","31","4.35","5349"
"KUL","HND","NH","2019","7","30.5","4733.19","152.7","62.06","40.8","25.32","470.36","2226281","534.28","2528846","444.06","2101807","502.8","2379855","12.13","31","8.3","5349"
"KUL","HND","YY","2019","7","0.02","3.41","0.1",,"0","0.02","223.72","763","274.55","936","223.72","763","274.55","936","0.03","0","4.18","5349"
"KUL","HND","D7","2019","8","69","10781.79","347.8","94","61.36","57.68","232.29","2504531","292.55","3154221","232.29","2504531","292.55","3154221","0","31","4.34","5349"
"KUL","HND","NH","2019","8","30.98","4841.57","156.2","72.31","35.82","25.9","553.72","2680874","623.94","3020831","509.4","2466283","572.09","2769802","14.7","31","9.52","5349"
"KUL","HND","YY","2019","8","0.02","3.41","0.1",,"0","0.02","259.23","884","311.04","1061","259.23","884","311.04","1061","0.03","0","4.85","5349"
"KUL","HND","D7","2019","9","69.73","10434","347.8","94","59.38","55.82","231.9","2419597","292.55","3052464","231.89","2419573","292.55","3052434","0.02","30","4.33","5349"
"KUL","HND","NH","2019","9","30.26","4528.08","150.9","70.2","34.5","24.22","577.77","2616193","656.74","2973779","547.09","2477246","620.77","2810894","12.43","30","10.23","5349"
"KUL","HND","S7","2019","9","0.01","1.8","0.1",,"0","0.01","1401.53","2523","1483.44","2670","1401.53","2523","1483.44","2670","-0.06","0","26.2","5349"
"KUL","HND","D7","2019","10","70.92","10781.8","347.8","94","61.36","57.68","220.1","2373048","286.32","3086999","220.07","2372770","286.27","3086538","0.04","31","4.11","5349"
"KUL","HND","NH","2019","10","29.08","4420.6","142.6","58.21","40.63","23.65","517.34","2286968","592.73","2620209","489.89","2165599","560.46","2477561","12.86","31","9.16","5349"
"KUL","HND","D7","2019","11","68.98","10434","347.8","93.99","59.4","55.83","222.27","2319175","289.36","3019147","220.48","2300482","287.01","2994671","0.59","30","4.12","5351"
"KUL","HND","NH","2019","11","31.02","4692.58","156.4","63.84","39.33","25.11","492.33","2310312","563.85","2645933","440.37","2066476","505.99","2374412","16.56","30","8.23","5351"
"KUL","HND","D7","2019","12","72.53","10778.59","347.7","93.97","61.38","57.68","222.92","2402715","289.63","3121854","220.69","2378696","286.82","3091488","0.83","31","4.12","5351"
"KUL","HND","NH","2019","12","27.47","4081.79","131.7","53.74","40.64","21.84","484.16","1976249","563.04","2298210","428.99","1751042","497.73","2031644","23.42","31","8.02","5351"
