Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
LOCAL,KUL,HND,D7,KUL,KUALA LUMPUR,HND,TOKYO,Discount Coach,2019,1,   ,   ,   ,D7,  ,  ,  ,9594.31,211.18,2026136,211.18,2026126
LOCAL,KUL,HND,NH,KUL,KUALA LUMPUR,HND,TOKYO,Discount Coach,2019,1,   ,   ,   ,NH,  ,  ,  ,2955.6,244.91,723856,244.87,723739
LOCAL,KUL,HND,NH,KUL,KUALA LUMPUR,HND,TOKYO,Business,2019,1,   ,   ,   ,NH,  ,  ,  ,501.98,1331.87,668573,1331.69,668483
BEHIND,KUL,HND,NH,PEN,PENANG,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,69,256.62,17707,241.86,16689
LOCAL,KUL,HND,D7,KUL,KUALA LUMPUR,HND,TOKYO,Business,2019,1,   ,   ,   ,D7,  ,  ,  ,66.24,211.18,13989,211.18,13989
BEHIND,KUL,HND,NH,LGK,LANGKAWI,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,66.06,325.54,21505,300.09,19824
BEHIND,KUL,HND,NH,LGK,LANGKAWI,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,37.82,316.55,11972,291.65,11030
BEHIND,KUL,HND,NH,PEN,PENANG,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,31.44,253.26,7963,238.73,7506
BEHIND,KUL,HND,NH,LGK,LANGKAWI,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,16.93,1422.1,24076,1310.27,22183
BEHIND,KUL,HND,NH,KCH,KUCHING,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,11.07,178.11,1972,150.81,1669
BEHIND,KUL,HND,NH,PEN,PENANG,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,9.86,1404.45,13848,1324,13055
BEHIND,KUL,HND,NH,KNO,MEDAN,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,7.13,233.98,1668,220.53,1572
BEHIND,KUL,HND,NH,MYY,MIRI,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,6.96,439.04,3056,349.42,2432
BEHIND,KUL,HND,NH,SIN,SINGAPORE,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,5.96,359.1,2140,340.76,2031
BEHIND,KUL,HND,NH,JHB,JOHOR BAHRU,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,5.02,981.61,4928,937.19,4705
BEHIND,KUL,HND,NH,MYY,MIRI,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,4.64,1646.91,7642,1310.73,6082
BEHIND,KUL,HND,NH,CMB,COLOMBO,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,4.14,291.07,1205,198.98,824
BEHIND,KUL,HND,NH,LHE,LAHORE,HND,TOKYO,Business,2019,1,KUL,   ,   ,OD,NH,  ,  ,3.84,3623.93,13916,2012.52,7728
BEHIND,KUL,HND,NH,KUA,KUANTAN,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,3.5,420.41,1471,405.61,1420
BEHIND,KUL,HND,NH,BKI,KOTA KINABALU,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,3.45,3271.55,11287,2508.87,8656
BEHIND,KUL,HND,NH,BKI,KOTA KINABALU,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,3.45,784.84,2708,601.87,2076
BEHIND,KUL,HND,NH,JHB,JOHOR BAHRU,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,3.34,952.38,3181,908.03,3033
BEHIND,KUL,HND,NH,LGK,LANGKAWI,HND,TOKYO,Business,2019,1,KUL,   ,   ,OD,NH,  ,  ,3.16,1383.73,4373,1278.23,4039
BEHIND,KUL,HND,NH,SIN,SINGAPORE,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,2.96,237.05,702,224.71,665
BEHIND,KUL,HND,NH,KTM,KATHMANDU,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,OD,NH,  ,  ,2.92,278.28,813,172.58,504
BEHIND,KUL,HND,NH,KTM,KATHMANDU,HND,TOKYO,Business,2019,1,KUL,   ,   ,MH,NH,  ,  ,2.66,859.98,2288,535.35,1424
BEHIND,KUL,HND,NH,KTM,KATHMANDU,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,RA,NH,  ,  ,2.64,277.89,734,172.58,456
BEHIND,KUL,HND,NH,KHI,KARACHI,HND,TOKYO,Business,2019,1,KUL,   ,   ,PK,NH,  ,  ,2.3,1159.1,2666,631.8,1453
BEHIND,KUL,HND,D7,SIN,SINGAPORE,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,AK,D7,  ,  ,1.99,207.62,413,196.9,392
BEHIND,KUL,HND,NH,KCH,KUCHING,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,MH,NH,  ,  ,1.9,618.04,1174,522.43,993
BEHIND,KUL,HND,NH,BWN,BANDAR SERI BEGAWAN,HND,TOKYO,Business,2019,1,KUL,   ,   ,BI,NH,  ,  ,1.68,1976.26,3320,1551.13,2606
BEHIND,KUL,HND,NH,BWN,BANDAR SERI BEGAWAN,HND,TOKYO,Discount Coach,2019,1,KUL,   ,   ,BI,NH,  ,  ,1.68,909.33,1528,713.72,1199
BEHIND,KUL,HND,NH,HKG,HONG KONG,HND,TOKYO,Business,2019,1,KUL,   ,   ,KA,NH,  ,  ,1.61,1156.86,1863,785.44,1265
