,Origin Airport,Destination Airport,Airline,Passengers,Net Yield,R,E,Load Factor,RE,B,REB,Y/P/B
0,SIN,PER,QF,"67,417.90",296.60,"23,853,195.84","153,342",0.78,155.56,5.22,29.77,56.77
1,SIN,PER,TR,"126,743.47",153.69,"17,131,481.65","135,681",0.92,126.26,5.16,24.45,29.76
2,SIN,PER,SQ,"303,369.27",254.65,"86,396,806.08","633,260",0.76,136.43,5.20,26.23,48.95
3,KUL,PER,OD,"90,093",109.56,"10,516,814.62","148,241",0.77,70.94,5.75,12.34,19.05
4,KUL,PER,MH,"72,809",188.16,"15,513,484.03","177,708",0.63,87.30,5.67,15.39,33.18
5,KUL,PER,D7,"129,231",34.50,"4,455,092.25","179,960",0.87,24.76,5.50,4.50,6.27
6,KUL,PEK,D7,"73,099.93",172.85,"12,686,877.29","160,600",0.54,79.00,6.46,12.24,26.77
7,KUL,PEK,CA,"13,055.36",152.04,"3,835,150.17","49,960",0.64,76.76,6.42,11.96,23.70
8,KUL,PEK,MH,"82,729.42",203.87,"17,507,776.58","159,720",0.82,109.62,6.33,17.31,32.19
9,SIN,KIX,TR,"49,973.25",284.11,"14,101,910.60","73,530",0.78,191.78,6.42,29.85,44.22
10,SIN,KIX,SQ,"264,293.59",394.20,"109,199,621.65","459,141",0.85,237.83,6.49,36.66,60.75
11,KUL,KIX,D7,"96,258.77",234.87,"22,846,079.95","161,040",0.71,141.87,6.59,21.53,35.65
12,KUL,KIX,MH,"88,418.42",261.66,"24,357,207.70","176,880",0.81,137.70,6.29,21.91,41.63
13,KUL,HND,D7,"124,974.55",251.14,"31,969,784.69","160,600",0.92,199.06,7.09,28.09,35.44
14,KUL,HND,NH,"47,324.48",452.85,"23,784,104.61","153,300",0.60,155.15,6.93,22.39,65.36
15,KUL,NRT,NH,"34,858.84",411.57,"27,886,284.82","149,634",0.79,186.36,6.87,27.12,59.89
16,KUL,NRT,MH,"147,502.04",309.48,"49,244,660.94","338,135",0.76,145.64,6.99,20.83,44.27
17,KUL,NRT,JL,"52,529.88",511.82,"33,247,887.26","153,300",0.88,216.88,7.02,30.88,72.87
18,KUL,NRT,D7,"8,341.14",237.30,"2,018,363.94","10,560",0.94,191.13,6.92,27.63,34.31
19,SIN,MEL,TR,"108,061.95",204.63,"22,689,065.33","160,284",0.76,141.56,7.61,18.61,26.90
20,SIN,MEL,SQ,"320,138.94",382.57,"151,358,304.68","934,591",0.82,161.95,7.42,21.84,51.58
21,SIN,MEL,EK,"40,838.15",319.49,"22,962,171.74","204,992",0.54,112.01,7.27,15.40,43.93
22,SIN,MEL,JQ,"26,382.56",215.51,"6,168,599.51","39,003",0.89,158.16,7.33,21.57,29.39
23,SIN,MEL,QF,"145,830.13",411.94,"92,571,022.37","453,692",0.84,204.04,7.38,27.64,55.81
24,SIN,SYD,BA,"51,285.37",385.73,"35,545,606.29","160,160",0.85,221.94,7.75,28.64,49.77
25,SIN,SYD,QF,"160,789.07",490.98,"116,266,901.31","470,592",0.84,247.07,7.85,31.47,62.54
26,SIN,SYD,TR,"80,317.34",179.00,"11,475,165.26","93,129",0.76,123.22,7.80,15.79,22.93
27,SIN,SYD,SQ,"395,689.56",409.04,"199,164,655.17","1,224,940",0.80,162.59,7.77,20.93,52.65
28,KUL,SYD,MH,"166,182.76",240.92,"43,019,836.27","322,439",0.84,133.42,8.34,16.00,28.90
29,KUL,SYD,D7,"130,526.58",134.81,"18,295,139.18","213,400",0.74,85.73,8.35,10.27,16.15
30,KUL,JED,SV,"68,348.87",371.24,"54,566,501.56","356,610",0.57,153.01,8.63,17.73,43.02
31,KUL,JED,MH,"35,929.88",271.46,"7,405,305.94","104,751.41",0.45,70.69,9.46,7.47,28.68
32,KUL,JED,D7,"70,956.97",72.61,"4,816,659.20","87,560",0.91,55.01,9.69,5.68,7.49
33,SIN,JED,SV,"21,558.62",330.64,"8,798,651.31","72,240",0.54,121.80,8.95,13.62,36.96
34,SIN,JED,TR,"44,111.30",235.44,"10,623,009.61","56,748",0.89,187.20,9.58,19.54,24.57
