"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","JED","SV","2019","1","55.69","19903.8","642.1","84.54","166.33","140.62","357.86","7122840","323.77","6444166","61.27","79","4.58","7065"
"KUL","JED","D7","2019","1","22.68","8104.42","261.4","81.13","70.58","57.26","145.14","1176297","135.21","1095759","5.87","27","1.91","7065"
"KUL","JED","MH","2019","1","21.63","7732.35","249.4","70.72","77.25","54.63","348.94","2698157","308.33","2384080","55.35","35","4.36","7065"
"KUL","JED","SV","2019","2","50.16","14086.9","503.1","65.65","151.59","99.52","334.97","4718728","297.49","4190692","62.73","72","4.21","7065"
"KUL","JED","D7","2019","2","27.31","7669.24","273.9","85.66","63.25","54.18","113.62","871399","102.47","785829","7.1","24","1.45","7065"
"KUL","JED","MH","2019","2","22.52","6325.12","225.9","62.86","71.1","44.69","316.3","2000644","281.59","1781097","56.48","32","3.99","7065"
"KUL","JED","SV","2019","3","52.4","16254.31","524.3","68.18","168.43","114.84","355.4","5776861","307.92","5005017","67","80","4.36","7065"
"KUL","JED","D7","2019","3","27.68","8585.42","276.9","92.82","65.35","60.66","130.59","1121150","111.18","954554","20.05","25","1.57","7065"
"KUL","JED","MH","2019","3","19.9","6173.62","199.1","56.47","77.25","43.62","325.91","2012052","295.6","1824946","55.22","35","4.18","7065"
"KUL","JED","EY","2019","3","0.01","4.29","0.1",,"0","0.03","105.53","453","105.53","453","0.08","0","1.49","7065"
"KUL","JED","V8","2019","3","0.01","1.96","0.1",,"0","0.01","199.22","390","199.22","390","-0.1","0","2.82","7065"
"KUL","JED","SV","2019","4","62.1","17258.59","575.3","75.21","162.11","121.93","353.2","6095802","308.33","5321287","66.27","77","4.36","7065"
"KUL","JED","D7","2019","4","28.78","7999.41","266.6","94.01","60.12","56.52","140.29","1122203","140.29","1122203","0","23","1.99","7065"
"KUL","JED","MH","2019","4","9.12","2533.57","84.5","62.41","28.68","17.9","271.72","688422","244.4","619213","42.43","14","3.46","7065"
"KUL","JED","SV","2019","5","54.21","8967.66","289.3","44.92","141.06","63.36","399.53","3582837","364.87","3272020","47.92","67","5.16","7065"
"KUL","JED","D7","2019","5","35.69","5905.27","190.5","88.67","47.05","41.72","143.2","845622","143.2","845622","0","18","2.03","7065"
"KUL","JED","MH","2019","5","10.1","1670.98","53.9","44.33","26.64","11.81","348.87","582956","319.96","534649","47.59","13","4.53","7065"
"KUL","JED","SV","2019","6","58.09","7685.01","256.2","37.37","145.27","54.29","435.14","3344035","396.13","3044267","47.51","69","5.61","7065"
"KUL","JED","D7","2019","6","31.55","4173.61","139.1","94.01","31.37","29.49","66","275458","66","275458","0","12","0.93","7065"
"KUL","JED","MH","2019","6","10.35","1369.32","45.6","42.9","22.54","9.67","341.15","467139","310.84","425644","38.22","11","4.4","7065"
"KUL","JED","QR","2019","6","0.01","1.96","0.1",,"0","0.01","206.85","405","206.85","405","-0.07","0","2.93","7065"
"KUL","JED","SV","2019","7","90.67","17013.94","548.8","93.59","128.43","120.2","409.83","6972758","375.24","6384256","54.49","61","5.31","7065"
"KUL","JED","MH","2019","7","9.33","1749.72","56.4","62.36","19.82","12.36","514.65","900494","454.7","795590","62.52","9","6.44","7065"
"KUL","JED","SV","2019","8","89.5","16942.56","546.5","82.4","145.27","119.7","468.11","7930913","435.5","7378518","47.85","69","6.16","7065"
"KUL","JED","MH","2019","8","10.5","1988.07","64.1","68.57","20.49","14.05","387.89","771157","348.69","693230","49.01","10","4.94","7065"
"KUL","JED","SV","2019","9","89.71","7219.05","240.6","46.99","108.53","51","401.73","2900108","362.41","2616230","51.98","53","5.13","7065"
"KUL","JED","MH","2019","9","10.29","828.04","27.6","23.79","24.59","5.85","485.9","402348","426.59","353232","64.09","12","6.04","7065"
"KUL","JED","SV","2019","10","45.21","4960.9","160","23.27","150.65","35.05","383.1","1900498","351.34","1742986","38.53","67","4.97","7065"
"KUL","JED","D7","2019","10","44.38","4869.2","157.1","93.99","36.6","34.4","66","321367","66","321367","0","14","0.93","7065"
"KUL","JED","MH","2019","10","10.41","1142.08","36.8","13.39","60.25","8.07","447.21","510754","398.5","455119","53.05","24","5.64","7065"
"KUL","JED","D7","2019","11","57.07","11477.4","382.6","94.01","86.26","81.09","54","619780","54","619780","0","33","0.76","7065"
"KUL","JED","SV","2019","11","34.19","6875","229.2","26.79","181.27","48.57","448.07","3080468","407.07","2798632","47.54","76","5.76","7065"
"KUL","JED","MH","2019","11","8.74","1757.4","58.6","12.06","103.01","12.42","384.65","675992","355.55","624841","23.74","30","5.03","7065"
"KUL","JED","D7","2019","12","50.47","12173.01","392.7","94","91.49","86","53","645169","53","645169","0","35","0.75","7065"
"KUL","JED","SV","2019","12","37.7","9092.7","293.3","32.36","198.51","64.24","403.37","3667756","361.64","3288310","56.47","80","5.12","7065"
"KUL","JED","MH","2019","12","11.84","2855.8","92.1","18.96","106.44","20.18","384.05","1096758","359.32","1026137","37.94","31","5.09","7065"
