"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","KUL","JED","D7","KUL","KUALA LUMPUR","JED","JEDDAH","Discount Coach","2019","1","   ","   ","   ","D7","  ","  ","  ","7293.14","134.17","978503","134.17","978490"
"LOCAL","KUL","JED","SV","KUL","KUALA LUMPUR","JED","JEDDAH","Discount Coach","2019","1","   ","   ","   ","SV","  ","  ","  ","6743.96","349.92","2359850","349.92","2359847"
"LOCAL","KUL","JED","MH","KUL","KUALA LUMPUR","JED","JEDDAH","Discount Coach","2019","1","   ","   ","   ","MH","  ","  ","  ","3250.53","294.8","958262","294.84","958371"
"BEHIND","KUL","JED","MH","MNL","MANILA","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","1904.82","375.21","714709","277.66","528898"
"LOCAL","KUL","JED","SV","KUL","KUALA LUMPUR","JED","JEDDAH","Business","2019","1","   ","   ","   ","SV","  ","  ","  ","964.19","788.53","760291","788.54","760300"
"BEHIND","KUL","JED","MH","SUB","SURABAYA","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","848.38","316.12","268187","255.76","216979"
"BEHIND","KUL","JED","MH","CGK","JAKARTA","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","699.53","254.63","178121","219.57","153593"
"LOCAL","KUL","JED","D7","KUL","KUALA LUMPUR","JED","JEDDAH","Business","2019","1","   ","   ","   ","D7","  ","  ","  ","335.49","71","23820","71","23820"
"BEHIND","KUL","JED","D7","OOL","GOLD COAST","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","331.85","450.77","149590","234.63","77862"
"BEHIND","KUL","JED","MH","PEN","PENANG","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","306.1","301.16","92186","287.91","88128"
"BEHIND","KUL","JED","SV","CGK","JAKARTA","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","224.71","388.5","87300","335","75278"
"LOCAL","KUL","JED","MH","KUL","KUALA LUMPUR","JED","JEDDAH","Business","2019","1","   ","   ","   ","MH","  ","  ","  ","200.21","1055.34","211289","1055.47","211316"
"BEHIND","KUL","JED","SV","CGK","JAKARTA","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","GA","SV","  ","  ","192.96","377.88","72915","325.84","62874"
"BEHIND","KUL","JED","MH","KBR","KOTA BHARU","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","165.01","505.92","83482","479.71","79157"
"BEHIND","KUL","JED","D7","PEK","BEIJING","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","86.62","159.66","13829","98.27","8512"
"BEHIND","KUL","JED","MH","ICN","SEOUL","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","52.31","565.17","29564","341.87","17883"
"BEHIND","KUL","JED","MH","KNO","MEDAN","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","39.15","131.81","5161","125.97","4932"
"BEHIND","KUL","JED","MH","AOR","ALOR SETAR","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","38.84","319.93","12426","302.39","11745"
"BEHIND","KUL","JED","D7","DPS","DENPASAR BALI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","28.37","121.98","3460","95.45","2708"
"BEHIND","KUL","JED","SV","LGK","LANGKAWI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","20.91","689.16","14410","647.57","13541"
"BEHIND","KUL","JED","MH","BWN","BANDAR SERI BEGAWAN","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","BI","MH","  ","  ","19.77","481.84","9526","398.15","7871"
"BEHIND","KUL","JED","SV","PEN","PENANG","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","18.06","400.03","7225","382.11","6901"
"BEHIND","KUL","JED","MH","SGN","HO CHI MINH CITY","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","17.04","383.2","6530","332.85","5672"
"BEHIND","KUL","JED","MH","PER","PERTH","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","16.68","541.45","9031","341.53","5697"
"BEHIND","KUL","JED","MH","LGK","LANGKAWI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","15.91","424.44","6753","398.65","6343"
"BEHIND","KUL","JED","SV","TPE","TAIPEI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","15.68","487.75","7648","334.3","5242"
"BEHIND","KUL","JED","SV","BWN","BANDAR SERI BEGAWAN","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","BI","SV","  ","  ","14.19","1261.42","17900","1042.3","14790"
"BEHIND","KUL","JED","D7","PVG","SHANGHAI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","13.59","206.94","2812","134.56","1829"
"BEHIND","KUL","JED","SV","KCH","KUCHING","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","13.06","1406.94","18375","1236.82","16153"
"BEHIND","KUL","JED","MH","BKK","BANGKOK","JED","JEDDAH","Business","2019","1","KUL","   ","   ","MH","MH","  ","  ","12.61","694.84","8762","592.57","7472"
"BEHIND","KUL","JED","SV","PVG","SHANGHAI","JED","JEDDAH","Discount Coach","2019","1","KUL","   ","   ","MH","SV","  ","  ","11.84","506.24","5994","328.78","3893"
