"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","KUL","KIX","D7","KUL","KUALA LUMPUR","KIX","OSAKA","Discount Coach","2019","1","   ","   ","   ","D7","  ","  ","  ","9560.25","203.73","1947735","203.73","1947710"
"LOCAL","KUL","KIX","MH","KUL","KUALA LUMPUR","KIX","OSAKA","Discount Coach","2019","1","   ","   ","   ","MH","  ","  ","  ","3000.75","205.13","615545","205.16","615636"
"BEHIND","KUL","KIX","MH","HKT","PHUKET","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","608.22","261.22","158880","228.61","139048"
"BEHIND","KUL","KIX","MH","BKI","KOTA KINABALU","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","543.8","178.03","96811","133.9","72813"
"LOCAL","KUL","KIX","MH","KUL","KUALA LUMPUR","KIX","OSAKA","Business","2019","1","   ","   ","   ","MH","  ","  ","  ","422.33","851.04","359421","851.17","359475"
"BEHIND","KUL","KIX","MH","PEN","PENANG","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","420.69","227.11","95542","213.06","89631"
"BEHIND","KUL","KIX","MH","LGK","LANGKAWI","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","223.18","257.11","57383","235.4","52537"
"BEHIND","KUL","KIX","MH","BKI","KOTA KINABALU","KIX","OSAKA","Discount Coach","2019","1","TWU","KUL","   ","MH","MH","MH","  ","221.24","145.04","32088","101.5","22456"
"BEHIND","KUL","KIX","MH","SIN","SINGAPORE","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","216.46","181.1","39201","170.85","36982"
"BEHIND","KUL","KIX","MH","DPS","DENPASAR BALI","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","183.77","222.21","40835","159.01","29222"
"BEHIND","KUL","KIX","MH","SIN","SINGAPORE","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MI","MH","  ","  ","168.14","188.84","31752","178.17","29958"
"BEHIND","KUL","KIX","MH","BKK","BANGKOK","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","109.65","211.15","23152","169.32","18566"
"BEHIND","KUL","KIX","MH","CGK","JAKARTA","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","75.26","251.18","18904","204.4","15383"
"BEHIND","KUL","KIX","MH","MEL","MELBOURNE","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","74.61","277.06","20671","121.64","9076"
"BEHIND","KUL","KIX","MH","PNH","PHNOM PENH","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","66.87","119.85","8015","99.11","6627"
"BEHIND","KUL","KIX","MH","JHB","JOHOR BAHRU","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","65.52","402.52","26373","383.02","25095"
"BEHIND","KUL","KIX","MH","KTM","KATHMANDU","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","63.99","188","12030","113.08","7236"
"BEHIND","KUL","KIX","MH","KNO","MEDAN","KIX","OSAKA","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","62.48","191.89","11989","179.93","11242"
"BEHIND","KUL","KIX","MH","HKT","PHUKET","KIX","OSAKA","Business","2019","1","KUL","   ","   ","MH","MH","  ","  ","61","751.33","45831","657.69","40119"
