"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","PEK","MH","2019","1","39.7","7102.37","229.1","78.99","39.69","31.35","267.93","1902920","300.82","2136565","234.16","1663079","260.73","1851815","50.15","31","5.3","4414"
"KUL","PEK","D7","2019","1","37.91","6781.21","218.7","59.13","50.63","29.94","155.77","1056313","215.35","1460362","151.79","1029353","208.87","1416416","4.15","31","3.44","4414"
"KUL","PEK","CA","2019","1","22.39","4004.32","129.2","79.64","22.2","17.68","215.36","862379","313.97","1257243","176","704778","248","993052","42.22","25","3.99","4414"
"KUL","PEK","MH","2019","2","43.25","7455.01","266.3","91.82","35.83","32.9","340.95","2541813","382.9","2854526","294.8","2197746","328.18","2446577","63.66","28","6.68","4413"
"KUL","PEK","D7","2019","2","41.81","7206.89","257.4","69","46.09","31.8","168.11","1211522","228.52","1646926","164.5","1185509","222.95","1606774","4.05","28","3.73","4413"
"KUL","PEK","CA","2019","2","14.95","2576.73","92","52.28","21.75","11.37","240.26","619078","329.59","849261","213.97","551348","293.49","756241","25.49","28","4.85","4413"
"KUL","PEK","D7","2019","3","42.01","7175.12","231.5","62.55","50.63","31.67","158.39","1136440","217.73","1562210","156.08","1119903","213.83","1534220","2.3","31","3.54","4414"
"KUL","PEK","MH","2019","3","38.85","6635.71","214.1","73.8","39.69","29.29","250.84","1664493","280.8","1863289","227.91","1512367","253.76","1683894","33.33","31","5.16","4414"
"KUL","PEK","CA","2019","3","19.12","3265.4","105.3","59.82","24.09","14.41","171.82","561061","275.44","899414","137.07","447593","210.73","688115","36.86","31","3.11","4414"
"KUL","PEK","YY","2019","3","0.02","3.05","0.1",,"0","0.01","109.3","333","163.66","499","109.3","333","163.66","499","-0.06","0","2.48","4414"
"KUL","PEK","MH","2019","4","47.11","7776.44","259.2","89.4","38.39","34.32","235.63","1832331","265.97","2068276","220.58","1715347","248","1928553","25.99","30","5","4413"
"KUL","PEK","D7","2019","4","36.81","6076.81","202.6","54.76","48.98","26.82","198.84","1208342","255.08","1550049","196.04","1191327","251.21","1526553","2.14","30","4.44","4413"
"KUL","PEK","CA","2019","4","16","2640.68","88","73.09","15.94","11.65","199.93","527949","316.82","836621","136.4","360189","204.06","538870","47.13","12","3.09","4413"
"KUL","PEK","YY","2019","4","0.07","11.02","0.4",,"0","0.05","186.47","2055","262.67","2895","106.73","1176","161.92","1784","16.92","0","2.42","4413"
"KUL","PEK","CZ","2019","4","0.01","1.26","0",,"0","0.01","286.21","361","344.26","434","286.21","361","344.26","434","0.24","0","6.49","4413"
"KUL","PEK","KA","2019","4","0.01","1.22","0",,"0","0.01","3292.6","4017","5476.1","6681","995.84","1215","1656.24","2021","100","0","22.57","4413"
