"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","KUL","PEK","D7","KUL","KUALA LUMPUR","PEK","BEIJING","Discount Coach","2019","1","   ","   ","   ","D7","  ","  ","  ","6107.79","153.13","935298","153.14","935322"
"LOCAL","KUL","PEK","MH","KUL","KUALA LUMPUR","PEK","BEIJING","Discount Coach","2019","1","   ","   ","   ","MH","  ","  ","  ","3159.42","186.05","587812","186.01","587683"
"LOCAL","KUL","PEK","CA","KUL","KUALA LUMPUR","PEK","BEIJING","Discount Coach","2019","1","   ","   ","   ","CA","  ","  ","  ","2197.24","155.66","342027","155.67","342039"
"BEHIND","KUL","PEK","MH","SIN","SINGAPORE","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","536.65","198.88","106731","186.33","99994"
"BEHIND","KUL","PEK","MH","TWU","TAWAU","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","458.76","305.55","140173","216.08","99128"
"LOCAL","KUL","PEK","D7","KUL","KUALA LUMPUR","PEK","BEIJING","Business","2019","1","   ","   ","   ","D7","  ","  ","  ","392","158.83","62260","158.83","62261"
"LOCAL","KUL","PEK","MH","KUL","KUALA LUMPUR","PEK","BEIJING","Business","2019","1","   ","   ","   ","MH","  ","  ","  ","380.29","586.84","223168","586.56","223062"
"BEHIND","KUL","PEK","MH","DPS","DENPASAR BALI","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","341.68","206.36","70509","142.81","48794"
"BEHIND","KUL","PEK","MH","LGK","LANGKAWI","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","235.71","243.91","57492","221.07","52108"
"BEHIND","KUL","PEK","MH","JED","JEDDAH","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","213.25","354.73","75647","136.41","29090"
"BEHIND","KUL","PEK","MH","KCH","KUCHING","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","203.91","248.22","50615","203.58","41511"
"BEHIND","KUL","PEK","MH","KUA","KUANTAN","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","188.39","348.74","65700","333.55","62838"
"BEHIND","KUL","PEK","D7","DPS","DENPASAR BALI","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","138.5","205.5","28462","142.21","19696"
"LOCAL","KUL","PEK","CA","KUL","KUALA LUMPUR","PEK","BEIJING","Business","2019","1","   ","   ","   ","CA","  ","  ","  ","116.46","1116.51","130028","1116.63","130043"
"BEHIND","KUL","PEK","MH","SIN","SINGAPORE","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MI","MH","  ","  ","115.5","198.82","22963","186.33","21521"
"BEHIND","KUL","PEK","MH","HKT","PHUKET","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","108.77","204.07","22197","175.99","19142"
"BEHIND","KUL","PEK","MH","BKI","KOTA KINABALU","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","95.64","162.74","15565","118.88","11370"
"BEHIND","KUL","PEK","MH","JHB","JOHOR BAHRU","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","91.03","446.26","40623","422.46","38457"
"BEHIND","KUL","PEK","D7","JED","JEDDAH","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","84.65","159.71","13520","61.4","5198"
"BEHIND","KUL","PEK","MH","MRU","MAURITIUS","PEK","BEIJING","Discount Coach","2019","1","SIN","KUL","   ","MK","MK","MH","  ","81.78","220.02","17993","94.26","7709"
"BEHIND","KUL","PEK","MH","PEN","PENANG","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","81.14","191.19","15513","177.99","14442"
"BEHIND","KUL","PEK","D7","AVV","AVALON","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","D7","D7","  ","  ","57.15","289.07","16520","118.96","6799"
"BEHIND","KUL","PEK","MH","PNH","PHNOM PENH","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","46.49","207.75","9658","168.14","7817"
"BEHIND","KUL","PEK","MH","CGK","JAKARTA","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","39.34","100.47","3952","80.09","3151"
"BEHIND","KUL","PEK","MH","SUB","SURABAYA","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","39.08","131.37","5134","95.21","3721"
"BEHIND","KUL","PEK","MH","SBW","SIBU","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","38.74","382.12","14803","303.57","11760"
"BEHIND","KUL","PEK","MH","BKK","BANGKOK","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","36.98","262.77","9717","205.9","7614"
"BEHIND","KUL","PEK","MH","DAC","DHAKA","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","34.53","222.96","7699","139.46","4815"
"BEHIND","KUL","PEK","CA","JHB","JOHOR BAHRU","PEK","BEIJING","Discount Coach","2019","1","KUL","   ","   ","MH","CA","  ","  ","32.07","652.88","20938","617.95","19818"
