"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","PER","D7","2019","1","34.69","9738.41","314.1","65.8","61.26","40.31","57.66","561547","110.97","1080687","56.48","549979","109.18","1063246","4","40","1.36","4139"
"KUL","PER","OD","2019","1","31.52","8849.54","285.5","82.56","44.37","36.63","335.35","2967730","414.67","3669610","219.64","1943705","268.65","2377449","73.83","62","5.31","4139"
"KUL","PER","MH","2019","1","25.61","7189.19","231.9","84.79","35.1","29.76","386.16","2776212","461.73","3319442","225.37","1620229","264.43","1901018","85.66","53","5.44","4139"
"KUL","PER","??","2019","1","8.19","2299.22","74.2",,"0","9.52","189.01","434582","236.61","544012","189.01","434582","236.61","544012","0","0","4.57","4139"
"KUL","PER","D7","2019","2","41.43","9817.35","350.6","93.99","43.25","40.65","57.08","560374","110.15","1081419","56.62","555878","109.47","1074700","1.53","28","1.37","4141"
"KUL","PER","OD","2019","2","35.2","8341.17","297.9","88.13","39.19","34.54","254.52","2122994","326.73","2725277","174.5","1455534","222.34","1854599","61.7","56","4.21","4141"
"KUL","PER","MH","2019","2","23.36","5535.69","197.7","72.08","31.8","22.92","311.27","1723089","389.06","2153698","218.94","1211974","264.79","1465808","65.42","48","5.29","4141"
"KUL","PER","D7","2019","3","43.2","9275.27","299.2","80.86","47.48","38.39","32.04","297173","85.06","788914","31.75","294456","84.61","784769","1.29","31","0.77","4139"
"KUL","PER","OD","2019","3","35.53","7628.44","246.1","72.82","43.37","31.58","168.17","1282912","234.52","1788997","132","1006929","183.41","1399104","34.99","62","3.19","4139"
"KUL","PER","MH","2019","3","21.26","4564.59","147.2","52.05","36.29","18.89","304.58","1390284","390.75","1783632","207.15","945564","255.55","1166490","65.22","54","5","4139"
"KUL","PER","SQ","2019","3","0.01","1.12","0",,"0","0","666.34","746","707.22","792","666.34","746","707.22","792","0.41","0","16.1","4139"
"KUL","PER","D7","2019","4","39.05","10061.32","335.4","90.64","45.96","41.66","66.16","665684","122.29","1230408","65.32","657251","121.1","1218434","2.71","30","1.58","4141"
"KUL","PER","OD","2019","4","30.98","7981.98","266.1","76.24","43.35","33.05","177.46","1416482","242.06","1932088","142.02","1133619","194.28","1550705","41.07","60","3.43","4141"
"KUL","PER","MH","2019","4","29.97","7723.15","257.4","64.51","49.57","31.98","302.09","2333117","372.37","2875869","216.06","1668688","262.38","2026436","67.45","51","5.22","4141"
"KUL","PER","AK","2019","4","0.01","1.39","0",,"0","0.01","289.43","402","378.94","527","136.92","190","179.26","249","100","0","3.31","4141"
"KUL","PER","D7","2019","5","42.01","10722","345.9","93.47","47.48","44.38","43.79","469501","99.94","1071507","43.17","462881","99.05","1062030","1.97","31","1.04","4139"
