"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","SYD","MH","2019","1","48.92","15159.28","489","84.9","117.56","99.81","493.84","7486235","564.81","8562095","365.86","5546149","416.84","6318967","84.96","62","5.56","6584"
"KUL","SYD","D7","2019","1","42.07","13037.4","420.6","58.73","146.16","85.84","167.57","2184642","227.15","2961492","164.89","2149786","222.82","2904974","7.95","60","2.5","6584"
"KUL","SYD","??","2019","1","9","2790.39","90",,"0","18.37","424.23","1183762","478.36","1334801","424.23","1183762","478.36","1334801","0","0","6.44","6584"
"KUL","SYD","DY","2019","1","0.01","1.55","0.1",,"0","0.01","197.56","306","271.38","421","136.94","212","188.11","292","100","0","2.08","6584"
"KUL","SYD","WY","2019","1","0","1.14","0",,"0","0.01","1564","1783","1644.82","1875","873.13","995","918.25","1047","100","0","13.26","6584"
"KUL","SYD","KL","2019","1","0","0.34","0",,"0","0","570.76","194","687.82","234","211.44","72","254.79","87","100","0","3.21","6584"
"KUL","SYD","MH","2019","2","52.9","15106.49","539.5","93.66","106.21","99.48","380.94","5754620","456.57","6897152","287.69","4346033","342.52","5174349","80.66","56","4.37","6585"
"KUL","SYD","D7","2019","2","47.09","13447.18","480.3","81.94","108.08","88.56","150.26","2020525","210.41","2829438","148.95","2002924","208.25","2800345","3.73","44","2.26","6585"
"KUL","SYD","XX","2019","2","0.01","1.69","0.1",,"0","0.01","276.75","468","330.49","559","276.75","468","330.49","559","0.13","0","4.2","6585"
"KUL","SYD","MH","2019","3","63.76","14447.21","466","80.91","117.56","95.12","355.23","5132095","438.04","6328521","275.28","3976977","333.65","4820265","78.98","62","4.18","6584"
"KUL","SYD","D7","2019","3","36.24","8210.69","264.9","71.58","75.52","54.06","121.92","1001009","182.36","1497263","121.17","994922","181","1486115","4.2","31","1.84","6584"
