Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
LOCAL,KUL,SYD,D7,KUL,KUALA LUMPUR,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,D7,  ,  ,  ,11385.23,174.41,1985746,174.41,1985752
LOCAL,KUL,SYD,??,KUL,KUALA LUMPUR,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,??,  ,  ,  ,2790.39,424.23,1183762,424.23,1183767
LOCAL,KUL,SYD,MH,KUL,KUALA LUMPUR,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,MH,  ,  ,  ,1930.92,402.33,776871,401.93,776098
BEHIND,KUL,SYD,MH,BOM,MUMBAI,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,1393.45,454.22,632939,292.82,408029
BEHIND,KUL,SYD,MH,HYD,HYDERABAD,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,1294.53,457.03,591642,313.73,406129
BEHIND,KUL,SYD,MH,BLR,BENGALURU,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,1202.94,466.21,560819,324.16,389944
BEHIND,KUL,SYD,MH,MAA,CHENNAI,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,1173.48,488.72,573506,349.65,410310
BEHIND,KUL,SYD,MH,DEL,DELHI,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,926.13,330.5,306086,207.9,192544
BEHIND,KUL,SYD,MH,DAC,DHAKA,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,886.94,407.14,361108,290.43,257590
BEHIND,KUL,SYD,MH,CMB,COLOMBO,SYD,SYDNEY,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,844.66,509.91,430699,370.75,313160
