"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","SIN","JED","TR","SIN","SINGAPORE","JED","JEDDAH","Discount Coach","2019","1","   ","   ","   ","TR","  ","  ","  ","3396.5","388.25","1318683","388.25","1318683"
"LOCAL","SIN","JED","SV","SIN","SINGAPORE","JED","JEDDAH","Discount Coach","2019","1","   ","   ","   ","SV","  ","  ","  ","2799.97","335.48","939331","335.49","939370"
"LOCAL","SIN","JED","SV","SIN","SINGAPORE","JED","JEDDAH","Business","2019","1","   ","   ","   ","SV","  ","  ","  ","239.19","856.25","204806","856.38","204837"
"BEHIND","SIN","JED","TR","MNL","MANILA","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","144.34","526.12","75941","397.28","57343"
"BEHIND","SIN","JED","TR","SUB","SURABAYA","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","26.42","353.92","9351","297.81","7868"
"BEHIND","SIN","JED","SV","CGK","JAKARTA","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","GA","SV","  ","  ","25.2","328.56","8280","293.39","7393"
"BEHIND","SIN","JED","TR","DPS","DENPASAR BALI","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","21.14","314.92","6657","256.39","5420"
"BEHIND","SIN","JED","TR","KUL","KUALA LUMPUR","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","20","70.97","1419","68.25","1365"
"BEHIND","SIN","JED","TR","KUL","KUALA LUMPUR","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","MI","TR","  ","  ","18.46","209.34","3864","201.02","3711"
"BEHIND","SIN","JED","TR","PVG","SHANGHAI","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","SQ","TR","  ","  ","7.45","484.48","3609","319.21","2378"
"BEHIND","SIN","JED","SV","MNL","MANILA","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","PR","SV","  ","  ","7.3","496.13","3622","375.06","2738"
"BEHIND","SIN","JED","TR","HKG","HONG KONG","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","5.98","324.99","1943","241.1","1442"
"BEHIND","SIN","JED","SV","DAD","DA NANG","JED","JEDDAH","Discount Coach","2019","1","SGN","SIN","   ","VN","SQ","SV","  ","5.84","4774.79","27885","3882.23","22672"
"BEHIND","SIN","JED","TR","DPS","DENPASAR BALI","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","SQ","TR","  ","  ","5.64","303.4","1711","247.13","1394"
"BEHIND","SIN","JED","TR","SGN","HO CHI MINH CITY","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","5.29","367.96","1947","320.42","1695"
"BEHIND","SIN","JED","TR","CRK","LUZON IS","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","4.9","164.24","805","123.9","607"
"BEHIND","SIN","JED","SV","AKL","AUCKLAND","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","SQ","SV","  ","  ","4.52","1461.27","6605","682.62","3085"
"BEHIND","SIN","JED","SV","ROK","ROCKHAMPTON","JED","JEDDAH","Discount Coach","2019","1","BNE","SIN","   ","QF","EK","SV","  ","3.89","504.81","1964","264.85","1030"
"BEHIND","SIN","JED","TR","PER","PERTH","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","3.06","810.53","2480","530.5","1623"
"BEHIND","SIN","JED","SV","HKG","HONG KONG","JED","JEDDAH","Business","2019","1","SIN","   ","   ","SQ","SV","  ","  ","2.89","1218.19","3521","902.42","2608"
"BEHIND","SIN","JED","TR","PER","PERTH","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","SQ","TR","  ","  ","2.85","542.14","1545","353.69","1008"
"BEHIND","SIN","JED","TR","CGK","JAKARTA","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","TR","TR","  ","  ","2.4","397.87","955","354.78","851"
"BEHIND","SIN","JED","SV","PEK","BEIJING","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","CA","SV","  ","  ","2.39","328.74","786","204.25","488"
"BEHIND","SIN","JED","SV","BNE","BRISBANE","JED","JEDDAH","Discount Coach","2019","1","SIN","   ","   ","SQ","SV","  ","  ","2.37","845.82","2005","460.51","1091"
