"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"SIN","KIX","SQ","2019","1","83.14","20432.44","659.1","84.27","118.85","100.16","431.62","8819009","467.3","9548065","384.86","7863558","414.87","8476735","35.87","62","7.85","4902"
"SIN","KIX","TR","2019","1","16.86","4144.68","133.7","74.11","27.42","20.32","315.66","1308322","354.26","1468295","290.53","1204154","326.2","1352011","8.55","17","5.93","4902"
"SIN","KIX","SQ","2019","2","81.45","18168.78","648.9","83.4","106.79","89.06","438.71","7970902","478.52","8694039","389.02","7067947","421.45","7657298","42.99","56","7.94","4902"
"SIN","KIX","TR","2019","2","18.54","4135.42","147.7","78.57","25.8","20.27","276.66","1144107","316.36","1308285","261.87","1082932","299.65","1239165","6.56","16","5.34","4902"
"SIN","KIX","XX","2019","2","0.01","3.21","0.1",,"0","0.02","289.9","931","328.33","1054","289.9","931","328.33","1054","0.07","0","5.91","4902"
"SIN","KIX","SQ","2019","3","82.61","22526.05","726.6","93.8","117.72","110.42","566.9","12769954","604.55","13618082","505.63","11389791","536","12074016","38.8","62","10.31","4902"
"SIN","KIX","TR","2019","3","17.38","4738.38","152.9","80.02","29.03","23.23","389.22","1844262","432.9","2051235","373.3","1768819","414.74","1965187","6.58","18","7.62","4902"
"SIN","KIX","XX","2019","3","0.01","3.21","0.1",,"0","0.02","281.68","904","331.96","1066","281.68","904","331.96","1066","0","0","5.75","4902"
"SIN","KIX","SQ","2019","4","76.77","15672.85","522.4","73.37","104.71","76.83","500.8","7848922","548.39","8594842","437.53","6857316","477.58","7485032","43.26","64","8.93","4902"
"SIN","KIX","TR","2019","4","23.23","4743.02","158.1","70.26","33.09","23.25","406.63","1928673","456.94","2167254","398.98","1892354","447.28","2121443","3.11","18","8.14","4902"
"SIN","KIX","SQ","2019","5","88.46","22810.89","735.8","76.73","145.73","111.82","424.67","9687095","466.15","10633193","366.07","8350370","399.47","9112201","37.67","93","7.47","4902"
"SIN","KIX","TR","2019","5","11.54","2977","96","69.31","21.05","14.59","413","1229500","462.18","1375903","412.39","1227694","461.34","1373408","0.41","12","8.41","4902"
"SIN","KIX","SQ","2019","6","85.06","22919.6","764","82.65","135.93","112.35","449.52","10302854","488.39","11193799","397.19","9103387","430.57","9868475","36.66","90","8.1","4902"
"SIN","KIX","TR","2019","6","14.92","4019.55","134","85.69","22.99","19.7","199.03","800025","242.87","976225","198.97","799756","242.78","975855","0.16","14","4.06","4902"
"SIN","KIX","YY","2019","6","0.02","6.42","0.2",,"0","0.03","243.31","1562","288.71","1853","243.31","1562","288.71","1853","0","0","4.96","4902"
"SIN","KIX","SQ","2019","7","80.16","21165.21","682.7","74.58","139.11","103.75","426.46","9026176","464.88","9839191","369.65","7823763","402.44","8517761","35.76","93","7.54","4902"
"SIN","KIX","TR","2019","7","19.83","5234.8","168.9","85.68","29.95","25.66","200.01","1047037","255.25","1336159","199.7","1045364","254.88","1334230","0.12","18","4.07","4902"
"SIN","KIX","3K","2019","7","0.01","1.76","0.1",,"0","0.01","741.8","1306","1133.06","1994","227.55","400","347.56","612","100","0","4.64","4902"
"SIN","KIX","XX","2019","7","0.01","1.6","0.1",,"0","0.01","272.52","436","310.02","496","272.52","436","310.02","496","-0.31","0","5.56","4902"
"SIN","KIX","SQ","2019","8","85.74","27879.23","899.3","93.78","145.73","136.67","457.53","12755530","501.64","13985298","376.78","10504255","409.71","11422266","40.51","93","7.69","4902"
"SIN","KIX","TR","2019","8","14.26","4637.02","149.6","85.87","26.47","22.73","242.43","1124141","291.31","1350811","242.38","1123913","291.25","1350509","0.1","16","4.94","4902"
"SIN","KIX","MI","2019","8","0","1.52","0",,"0","0.01","1888.75","2871","2113.2","3212","1506.84","2290","1685.91","2563","100","0","30.74","4902"
"SIN","KIX","SQ","2019","9","84.15","26367.19","878.9","91.65","141.03","129.25","420.58","11089497","463.17","12212492","344.37","9080043","376.77","9934322","44.38","90","7.02","4902"
"SIN","KIX","TR","2019","9","15.84","4963.24","165.4","86.55","28.11","24.33","173.37","860479","228.25","1132872","173.11","859168","227.97","1131463","0.09","17","3.53","4902"
"SIN","KIX","XX","2019","9","0.01","3.21","0.1",,"0","0.02","264.87","850","301.75","969","264.87","850","301.75","969","0","0","5.4","4902"
"SIN","KIX","SQ","2019","10","84.1","26824.28","865.3","90.23","145.73","131.49","473.77","12708510","513.28","13768362","413.07","11080277","445.74","11956538","38.45","93","8.43","4902"
"SIN","KIX","TR","2019","10","15.9","5070.36","163.6","94.02","26.44","24.86","221.46","1122870","275.71","1397925","221.06","1120855","275.24","1395548","0.18","16","4.51","4902"
"SIN","KIX","SQ","2019","11","90.12","26956.5","898.5","93.7","141.03","132.14","484.69","13065636","525.49","14165276","423.85","11425476","457.31","12327604","38.27","90","8.65","4902"
"SIN","KIX","TR","2019","11","9.88","2955.32","98.5","63.03","22.99","14.49","237.8","702782","288.79","853479","235.98","697389","286.61","847035","0.58","14","4.81","4902"
"SIN","KIX","CX","2019","11","0","1.01","0",,"0","0","1263.64","1276","1541.63","1557","610.77","617","745.13","753","100","0","12.46","4902"
"SIN","KIX","SQ","2019","12","89.59","25223.91","813.7","84.25","146.76","123.65","548.29","13829915","588.52","14844755","482.53","12171383","516.52","13028595","33.42","93","9.84","4902"
"SIN","KIX","TR","2019","12","10.41","2929.58","94.5","64.89","22.13","14.36","344.44","1009065","399.68","1170885","343.13","1005213","397.9","1165680","0.69","13","7","4902"
