"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","SIN","KIX","SQ","SIN","SINGAPORE","KIX","OSAKA","Discount Coach","2019","1","   ","   ","   ","SQ","  ","  ","  ","11187.22","295.21","3302548","295.17","3302153"
"LOCAL","SIN","KIX","TR","SIN","SINGAPORE","KIX","OSAKA","Discount Coach","2019","1","   ","   ","   ","TR","  ","  ","  ","3630.18","262.69","953620","262.69","953608"
"LOCAL","SIN","KIX","SQ","SIN","SINGAPORE","KIX","OSAKA","Business","2019","1","   ","   ","   ","SQ","  ","  ","  ","1771.43","1267.35","2245025","1267.07","2244529"
"BEHIND","SIN","KIX","SQ","HKT","PHUKET","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","814.78","126.3","102906","105.29","85787"
"BEHIND","SIN","KIX","SQ","CGK","JAKARTA","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","628.74","264.72","166442","224.27","141005"
"BEHIND","SIN","KIX","SQ","PER","PERTH","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","480.89","382.39","183886","212.67","102270"
"BEHIND","SIN","KIX","SQ","SUB","SURABAYA","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","458","326.73","149643","255.04","116807"
"BEHIND","SIN","KIX","SQ","DPS","DENPASAR BALI","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","418.34","179.37","75037","133.75","55953"
"BEHIND","SIN","KIX","SQ","DPS","DENPASAR BALI","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","374.07","177.1","66247","132.06","49399"
"BEHIND","SIN","KIX","SQ","KNO","MEDAN","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","306.09","491.58","150468","436.37","133569"
"BEHIND","SIN","KIX","SQ","BKK","BANGKOK","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","276.41","231","63851","179.18","49527"
"BEHIND","SIN","KIX","SQ","PEN","PENANG","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","230.24","217.47","50069","193.79","44618"
"BEHIND","SIN","KIX","SQ","KUL","KUALA LUMPUR","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","208.3","181.8","37868","171.4","35703"
"BEHIND","SIN","KIX","SQ","MEL","MELBOURNE","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","201.12","444.77","89451","199.32","40086"
"BEHIND","SIN","KIX","SQ","BNE","BRISBANE","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","184.58","382.29","70563","169.98","31375"
"LOCAL","SIN","KIX","TR","SIN","SINGAPORE","KIX","OSAKA","Business","2019","1","   ","   ","   ","TR","  ","  ","  ","160.22","972.16","155760","972.11","155751"
"LOCAL","SIN","KIX","SQ","SIN","SINGAPORE","KIX","OSAKA","First","2019","1","   ","   ","   ","SQ","  ","  ","  ","143.98","2029.56","292216","2029.55","292215"
"BEHIND","SIN","KIX","SQ","RGN","YANGON","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","118.9","309.04","36745","221.66","26355"
"BEHIND","SIN","KIX","SQ","MLE","MALE","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","108.41","936.55","101531","553.22","59975"
"BEHIND","SIN","KIX","SQ","MLE","MALE","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","103.81","946.44","98250","558.98","58027"
"BEHIND","SIN","KIX","SQ","SUB","SURABAYA","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","99.17","326.23","32352","254.66","25255"
"BEHIND","SIN","KIX","SQ","SYD","SYDNEY","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","99.09","404.4","40072","177.16","17554"
"BEHIND","SIN","KIX","SQ","USM","KOH SAMUI","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","79.36","168.71","13389","139.91","11103"
"BEHIND","SIN","KIX","SQ","MDC","MANADO","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","77.86","347.79","27079","235.82","18361"
"BEHIND","SIN","KIX","SQ","ADL","ADELAIDE","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","74.8","466.43","34889","222.19","16620"
"BEHIND","SIN","KIX","SQ","BDO","BANDUNG","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","62.09","660.78","41028","548.43","34052"
"BEHIND","SIN","KIX","SQ","CMB","COLOMBO","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","57.22","304.75","17438","195.22","11170"
"BEHIND","SIN","KIX","SQ","HAN","HANOI","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","54.96","233.15","12814","160.55","8824"
"BEHIND","SIN","KIX","SQ","HKT","PHUKET","KIX","OSAKA","Business","2019","1","SIN","   ","   ","MI","SQ","  ","  ","50.83","1418.62","72108","1182.92","60128"
"BEHIND","SIN","KIX","SQ","CGK","JAKARTA","KIX","OSAKA","Business","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","47.14","1090.01","51383","922.7","43496"
"BEHIND","SIN","KIX","SQ","DAC","DHAKA","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","42.06","391.1","16450","245.73","10336"
"BEHIND","SIN","KIX","SQ","CHC","CHRISTCHURCH","KIX","OSAKA","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","39.68","413.63","16413","152.44","6049"
