"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"SIN","PER","SQ","2019","1","56.99","30508.6","984.1","83.54","142.81","119.31","538.15","16418275","601.48","18350388","300.85","9178447","334.65","10209776","75.66","124","7.69","3911"
"SIN","PER","TR","2019","1","21.41","11460.76","369.7","83.26","53.83","44.82","259.36","2972416","317.27","3636174","249.08","2854654","304.9","3494391","9.49","40","6.37","3911"
"SIN","PER","QF","2019","1","13.32","7132.64","230.1","69.05","40.39","27.89","509.97","3637402","585.67","4177339","377.31","2691214","428.42","3055766","41.01","42","9.65","3911"
"SIN","PER","??","2019","1","8.25","4417.7","142.5",,"0","17.28","245.18","1083118","289.75","1280030","245.18","1083118","289.75","1280030","0","0","6.27","3911"
"SIN","PER","ZZ","2019","1","0.01","4.09","0.1",,"0","0.02","800.61","3274","848.15","3469","800.61","3274","848.15","3469","0.1","0","20.47","3911"
"SIN","PER","JQ","2019","1","0.01","2.85","0.1",,"0","0.01","77.24","220","139.22","397","77.24","220","139.22","397","-0.02","0","1.98","3911"
"SIN","PER","I4","2019","1","0.01","2.72","0.1",,"0","0.01","251","683","295.03","802","251","683","295.03","802","-0.15","0","6.42","3911"
"SIN","PER","ET","2019","1","0","0.78","0",,"0","0","614.1","479","843.38","658","141.6","110","194.47","152","100","0","3.62","3911"
"SIN","PER","SQ","2019","2","61.41","29691.77","1060.4","90.02","128.99","116.12","463.23","13754264","524.24","15565744","267.3","7936697","301.66","8956873","76.72","112","6.84","3911"
"SIN","PER","TR","2019","2","23.74","11475.51","409.8","94.01","47.74","44.88","180.4","2070207","238.15","2732844","175.28","2011430","231.39","2655294","4.78","36","4.48","3911"
"SIN","PER","QF","2019","2","14.73","7123.14","254.4","93.9","29.67","27.86","409.79","2918998","500.31","3563767","282.64","2013289","337.02","2400623","47.72","28","7.23","3911"
"SIN","PER","EK","2019","2","0.08","40.06","1.4",,"0","0.16","215.31","8625","268.94","10774","215.31","8625","268.94","10774","0.01","0","5.51","3911"
"SIN","PER","BA","2019","2","0.03","16.06","0.6",,"0","0.06","506.67","8137","613.99","9861","217.31","3490","291.8","4686","16.63","0","5.56","3911"
