


















"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","KUL","NRT","MH","KUL","KUALA LUMPUR","NRT","TOKYO","Discount Coach","2019","1","   ","   ","   ","MH","  ","  ","  ","6281.75","219.7","1380117","219.75","1380431"
"LOCAL","KUL","NRT","NH","KUL","KUALA LUMPUR","NRT","TOKYO","Discount Coach","2019","1","   ","   ","   ","NH","  ","  ","  ","1590.73","266.92","424593","267.04","424785"
"LOCAL","KUL","NRT","JL","KUL","KUALA LUMPUR","NRT","TOKYO","Discount Coach","2019","1","   ","   ","   ","JL","  ","  ","  ","1283.43","280.72","360289","280.8","360390"
"LOCAL","KUL","NRT","MH","KUL","KUALA LUMPUR","NRT","TOKYO","Business","2019","1","   ","   ","   ","MH","  ","  ","  ","938.84","902.27","847091","902.6","847394"
"BEHIND","KUL","NRT","MH","PER","PERTH","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","816.44","288.68","235686","163.52","133505"
"BEHIND","KUL","NRT","MH","PEN","PENANG","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","815.33","273.84","223266","258.24","210549"
"LOCAL","KUL","NRT","JL","KUL","KUALA LUMPUR","NRT","TOKYO","Business","2019","1","   ","   ","   ","JL","  ","  ","  ","623.52","1169.86","729433","1170.9","730083"
"BEHIND","KUL","NRT","MH","BNE","BRISBANE","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","574.07","205.63","118044","93.89","53901"
"LOCAL","KUL","NRT","JL","KUL","KUALA LUMPUR","NRT","TOKYO","Premium Coach","2019","1","   ","   ","   ","JL","  ","  ","  ","563.18","743.37","418652","743.19","418551"
"BEHIND","KUL","NRT","MH","MEL","MELBOURNE","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","515.69","273.83","141212","126.35","65157"
"BEHIND","KUL","NRT","MH","LGK","LANGKAWI","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","494.12","453.41","224038","418.24","206659"
"BEHIND","KUL","NRT","NH","RGN","YANGON","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","OD","NH","  ","  ","416.5","592.08","246603","451.24","187941"
"BEHIND","KUL","NRT","MH","SYD","SYDNEY","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","354.18","216.83","76797","97.76","34624"
"BEHIND","KUL","NRT","MH","PNH","PHNOM PENH","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","353.98","160.56","56835","134.66","47666"
"BEHIND","KUL","NRT","MH","DPS","DENPASAR BALI","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","329.33","331.4","109140","243.01","80031"
"LOCAL","KUL","NRT","NH","KUL","KUALA LUMPUR","NRT","TOKYO","Business","2019","1","   ","   ","   ","NH","  ","  ","  ","259.42","1323.13","343246","1324.04","343484"
"BEHIND","KUL","NRT","JL","PEN","PENANG","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","JL","  ","  ","255.28","286.87","73232","270.63","69088"
"BEHIND","KUL","NRT","MH","DAC","DHAKA","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","253.83","321.91","81710","216.35","54916"
"BEHIND","KUL","NRT","MH","KTM","KATHMANDU","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","242.52","251.81","61069","157.05","38088"
"BEHIND","KUL","NRT","MH","BKK","BANGKOK","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","240.12","267.23","64168","218.03","52352"
"BEHIND","KUL","NRT","MH","HKT","PHUKET","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","216.58","203.04","43974","179.65","38909"
"BEHIND","KUL","NRT","MH","CGK","JAKARTA","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","211.19","281.97","59548","233.34","49279"
"BEHIND","KUL","NRT","MH","CMB","COLOMBO","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","204.4","304.96","62333","209.59","42840"
"BEHIND","KUL","NRT","MH","BLR","BENGALURU","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","187.46","432.8","81134","282.55","52966"
"BEHIND","KUL","NRT","MH","BKI","KOTA KINABALU","NRT","TOKYO","Discount Coach","2019","1","KUL","   ","   ","MH","MH","  ","  ","184.44","327.33","60373","251.66","46415"
