"Leg Type","Leg Origin Airport","Leg Destination Airport","Leg Operating Airline","Origin Airport","Origin City Name","Destination Airport","Destination City Name","Cabin Class","Year","Month","Leg 2","Leg 3","Leg 4","Leg 1 Operating Airline","Leg 2 Operating Airline","Leg 3 Operating Airline","Leg 4 Operating Airline","Passengers","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline"
"LOCAL","SIN","MEL","TR","SIN","SINGAPORE","MEL","MELBOURNE","Discount Coach","2019","1","   ","   ","   ","TR","  ","  ","  ","6068.38","260.24","1579246","260.2","1578967"
"LOCAL","SIN","MEL","QF","SIN","SINGAPORE","MEL","MELBOURNE","Discount Coach","2019","1","   ","   ","   ","QF","  ","  ","  ","6009.15","442.6","2659663","442.47","2658842"
"LOCAL","SIN","MEL","SQ","SIN","SINGAPORE","MEL","MELBOURNE","Discount Coach","2019","1","   ","   ","   ","SQ","  ","  ","  ","4314.57","384.04","1656969","384.18","1657573"
"LOCAL","SIN","MEL","EK","SIN","SINGAPORE","MEL","MELBOURNE","Discount Coach","2019","1","   ","   ","   ","EK","  ","  ","  ","2729.17","325.33","887889","325.5","888331"
"BEHIND","SIN","MEL","SQ","DEL","DELHI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","2298.36","511.82","1176356","302.89","696157"
"BEHIND","SIN","MEL","SQ","LHR","LONDON","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","1966.93","649.28","1277084","231.78","455893"
"BEHIND","SIN","MEL","SQ","CMB","COLOMBO","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","1574.15","513.32","808045","352.65","555124"
"BEHIND","SIN","MEL","SQ","BOM","MUMBAI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","1356.8","557.73","756729","338.35","459071"
"LOCAL","SIN","MEL","JQ","SIN","SINGAPORE","MEL","MELBOURNE","Discount Coach","2019","1","   ","   ","   ","JQ","  ","  ","  ","1333.24","274.72","366267","274.72","366268"
"LOCAL","SIN","MEL","SQ","SIN","SINGAPORE","MEL","MELBOURNE","Business","2019","1","   ","   ","   ","SQ","  ","  ","  ","1180.35","1394.43","1645912","1395.6","1647296"
"BEHIND","SIN","MEL","SQ","PNH","PHNOM PENH","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","1082.84","437.35","473575","367.91","398386"
"BEHIND","SIN","MEL","QF","CMB","COLOMBO","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","UL","QF","  ","  ","1013.67","471.13","477566","323.6","328026"
"BEHIND","SIN","MEL","SQ","COK","KOCHI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","982.44","503.26","494423","328.69","322920"
"BEHIND","SIN","MEL","SQ","PVG","SHANGHAI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","898.7","349.52","314115","214.36","192643"
"BEHIND","SIN","MEL","EK","DXB","DUBAI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","EK","EK","  ","  ","889.39","496.58","441652","251.97","224100"
"LOCAL","SIN","MEL","QF","SIN","SINGAPORE","MEL","MELBOURNE","Business","2019","1","   ","   ","   ","QF","  ","  ","  ","825.04","1384.66","1142401","1383.63","1141551"
"BEHIND","SIN","MEL","QF","DEL","DELHI","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","9W","QF","  ","  ","810.95","512.79","415847","303.75","246329"
"BEHIND","SIN","MEL","SQ","SGN","HO CHI MINH CITY","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","810.04","430.06","348365","363.98","294837"
"BEHIND","SIN","MEL","SQ","AMD","AHMEDABAD","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","690.15","482.68","333118","286.06","197427"
"BEHIND","SIN","MEL","QF","LHR","LONDON","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","QF","QF","  ","  ","633.35","704.18","445994","251.42","159238"
"BEHIND","SIN","MEL","SQ","HKT","PHUKET","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","MI","SQ","  ","  ","548.16","437.31","239716","376.31","206277"
"LOCAL","SIN","MEL","TR","SIN","SINGAPORE","MEL","MELBOURNE","Business","2019","1","   ","   ","   ","TR","  ","  ","  ","542.05","1203.4","652306","1203.4","652303"
"BEHIND","SIN","MEL","SQ","MNL","MANILA","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","SQ","SQ","  ","  ","520.92","432.68","225393","310.39","161688"
"BEHIND","SIN","MEL","EK","BKK","BANGKOK","MEL","MELBOURNE","Discount Coach","2019","1","SIN","   ","   ","3K","EK","  ","  ","463.77","373.31","173131","302.14","140123"
