Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,12,   ,   ,   ,TR,  ,  ,  ,12795.03,157.66,2017258,157.66,2017205
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,3,   ,   ,   ,TR,  ,  ,  ,11872.68,109.53,1300429,109.53,1300397
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,2,   ,   ,   ,TR,  ,  ,  ,10270.04,128.11,1315660,128.11,1315665
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,6,   ,   ,   ,TR,  ,  ,  ,9926.84,114.19,1133586,114.19,1133546
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,1,   ,   ,   ,TR,  ,  ,  ,9825.95,200.38,1968922,200.37,1968862
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,11,   ,   ,   ,TR,  ,  ,  ,9806.31,112.33,1101520,112.34,1101604
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,7,   ,   ,   ,TR,  ,  ,  ,9776.66,180.05,1760250,180.04,1760169
LOCAL,SIN,PER,SQ,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,10,   ,   ,   ,SQ,  ,  ,  ,9537.66,254.25,2424952,254.25,2424997
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,4,   ,   ,   ,TR,  ,  ,  ,9447,155.11,1465362,155.11,1465341
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,10,   ,   ,   ,TR,  ,  ,  ,9387.92,176.46,1656550,176.47,1656672
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,9,   ,   ,   ,TR,  ,  ,  ,9100.76,109.97,1000853,109.98,1000902
LOCAL,SIN,PER,SQ,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,11,   ,   ,   ,SQ,  ,  ,  ,9067.59,210.21,1906053,210.29,1906801
LOCAL,SIN,PER,SQ,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,12,   ,   ,   ,SQ,  ,  ,  ,8291.08,230.8,1913562,230.85,1914007
LOCAL,SIN,PER,SQ,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,9,   ,   ,   ,SQ,  ,  ,  ,7794.39,220.48,1718488,220.43,1718145
LOCAL,SIN,PER,TR,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,8,   ,   ,   ,TR,  ,  ,  ,7761.29,120.49,935139,120.49,935158
LOCAL,SIN,PER,SQ,SIN,SINGAPORE,PER,PERTH,Discount Coach,2019,6,   ,   ,   ,SQ,  ,  ,  ,7236.18,217.68,1575207,217.61,1574637
