"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","KIX","D7","2019","1","56.18","9631.51","310.7","76.56","62.17","47.6","202.94","1954647","250","2407852","202.53","1950692","249.59","2403896","0.74","34","4.1","4942"
"KUL","KIX","MH","2019","1","43.82","7513.44","242.4","84.73","43.82","37.13","296.67","2229014","331.66","2491885","263.2","1977526","293.11","2202300","54.01","31","5.33","4942"
"KUL","KIX","D7","2019","2","59.65","9331.82","333.3","89.37","51.63","46.14","204.27","1906239","250.52","2337845","203.96","1903348","250.21","2334942","0.56","28","4.13","4944"
"KUL","KIX","MH","2019","2","40.35","6312.24","225.4","78.83","39.59","31.21","278.64","1758819","313.84","1981048","252.93","1596538","283.6","1790145","43.75","28","5.12","4944"
"KUL","KIX","MH","2019","3","51.96","11482","370.4","88.84","63.88","56.75","330.25","3791896","369.04","4237277","301.28","3459346","335.08","3847393","43.03","45","6.1","4942"
"KUL","KIX","D7","2019","3","48.04","10617.37","342.5","92.56","56.69","52.47","204.33","2169412","250.96","2664511","204.07","2166664","250.29","2657419","0.55","31","4.13","4942"
"KUL","KIX","D7","2019","4","50.31","8477.58","282.6","76.37","54.88","41.91","307.2","2604307","351.93","2983556","306.6","2599219","350.95","2975176","0.63","30","6.2","4944"
"KUL","KIX","MH","2019","4","49.69","8373.78","279.1","69.35","59.7","41.4","286.91","2402539","329.64","2760342","253.83","2125510","290.61","2433472","39.63","42","5.13","4944"
"KUL","KIX","MH","2019","5","50.3","7283.82","235","82","43.9","36","315.81","2300284","363.52","2647842","280.45","2042747","320.4","2333721","42","31","5.67","4942"
"KUL","KIX","D7","2019","5","49.7","7197.67","232.2","62.74","56.69","35.57","294.51","2119770","340.15","2448257","293.86","2115143","338.97","2439822","0.81","31","5.95","4942"
"KUL","KIX","D7","2019","6","53.65","7396.59","246.6","66.64","54.86","36.56","278.27","2058229","323","2389101","278.14","2057260","322.84","2387915","0.12","30","5.63","4942"
"KUL","KIX","MH","2019","6","46.35","6389.72","213","74.48","42.4","31.58","302.51","1932983","342.76","2190129","279.86","1788216","316.08","2019651","40.54","30","5.66","4942"
"KUL","KIX","D7","2019","7","58.74","8402.43","271","73.26","56.69","41.53","216.57","1819732","260.8","2191338","216.52","1819315","260.72","2190707","0.09","31","4.38","4942"
"KUL","KIX","MH","2019","7","41.26","5901.78","190.4","66.45","43.9","29.17","315.16","1859986","351.48","2074338","292.22","1724646","324.51","1915214","38.65","31","5.91","4942"
"KUL","KIX","MH","2019","8","57.07","9923.37","320.1","82.31","59.58","49.04","338.68","3360891","380.65","3777376","294.76","2925039","329.74","3272174","53.88","42","5.96","4942"
"KUL","KIX","D7","2019","8","42.93","7465.94","240.8","65.09","56.69","36.9","217.08","1620713","261.16","1949800","216.98","1619958","261.02","1948771","0.14","31","4.39","4942"
"KUL","KIX","MH","2019","9","50.48","7452.36","248.4","86.86","42.4","36.83","303.89","2264675","344.46","2567075","276.86","2063241","312.29","2327297","44.43","30","5.6","4942"
"KUL","KIX","D7","2019","9","49.52","7311.98","243.7","65.88","54.86","36.14","217.33","1589107","261.5","1912052","217.12","1587549","261.22","1910009","0.2","30","4.39","4942"
"KUL","KIX","MH","2019","10","52.58","7526.45","242.8","84.89","43.82","37.2","309.72","2331112","351.36","2644524","285.88","2151660","323.31","2433346","27.62","31","5.78","4942"
"KUL","KIX","D7","2019","10","47.42","6787.93","219","59.18","56.69","33.55","213.19","1447100","267.73","1817365","213.07","1446275","267.6","1816449","0.04","31","4.31","4942"
"KUL","KIX","MH","2019","11","53.97","7685.1","256.2","88.41","42.97","37.99","353.24","2714660","399.54","3070534","337.19","2591316","380.78","2926325","28.45","30","6.82","4944"
"KUL","KIX","D7","2019","11","46.03","6554.56","218.5","59.06","54.88","32.41","212.18","1390748","268.1","1757287","212.14","1390473","267.97","1756412","0.35","30","4.29","4944"
"KUL","KIX","D7","2019","12","50.84","7366.87","237.6","64.22","56.71","36.42","210.48","1550556","267.57","1971126","210.42","1550107","267.5","1970665","0.12","31","4.26","4944"
"KUL","KIX","MH","2019","12","49.16","7123.48","229.8","79.92","44.07","35.22","389.45","2774208","430.85","3069164","369.61","2632922","408.11","2907192","28.9","31","7.48","4944"
