"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"KUL","NRT","MH","2019","1","59.96","16150.63","521","74.49","117.27","87.36","340.49","5499106","383.75","6197866","276.99","4473523","308.4","4980910","55.07","54","5.12","5409"
"KUL","NRT","NH","2019","1","20.25","5453.71","175.9","73.31","40.24","29.5","788.32","4299285","909.25","4958773","407.94","2224808","472.43","2576479","66.09","31","7.54","5409"
"KUL","NRT","JL","2019","1","19.76","5321.78","171.7","84.58","34.04","28.79","566.46","3014572","642.54","3419460","478.53","2546612","537.27","2859226","53.6","31","8.85","5409"
"KUL","NRT","YY","2019","1","0.04","10.06","0.3",,"0","0.05","208.9","2102","248.22","2497","208.9","2102","248.22","2497","0.04","0","3.86","5409"
"KUL","NRT","MH","2019","2","58.38","14656.95","523.5","75.72","104.73","79.3","352.6","5168057","397.88","5831766","301.1","4413235","336.72","4935329","50.2","48","5.57","5411"
"KUL","NRT","JL","2019","2","21.25","5335.15","190.5","93.89","30.75","28.87","524.01","2795673","598.61","3193663","460.39","2456248","523.64","2793703","50.92","28","8.51","5411"
"KUL","NRT","NH","2019","2","20.27","5088.96","181.7","75.72","36.36","27.53","712.36","3625167","822.13","4183771","392.31","1996463","457.81","2329774","60.55","28","7.25","5411"
"KUL","NRT","YY","2019","2","0.1","25.14","0.9",,"0","0.14","248","6235","295.75","7435","248","6235","295.75","7435","0","0","4.58","5411"
"KUL","NRT","MH","2019","3","61.68","18438.88","594.8","86.32","115.55","99.74","447.8","8257011","493.1","9092182","383.36","7068727","418.73","7720898","52.59","53","7.09","5409"
"KUL","NRT","JL","2019","3","19.78","5913.79","190.8","93.98","34.04","31.99","616.52","3645968","693.08","4098702","539.72","3191807","605.41","3580274","49.68","31","9.98","5409"
"KUL","NRT","NH","2019","3","18.51","5533.5","178.5","74.38","40.24","29.93","836.33","4627805","940.61","5204853","497.33","2751993","566.53","3134921","47.64","31","9.19","5409"
"KUL","NRT","YY","2019","3","0.03","10.06","0.3",,"0","0.05","377.23","3795","432.41","4350","377.23","3795","432.41","4350","0.04","0","6.97","5409"
"KUL","NRT","MH","2019","4","56.9","13588.08","452.9","65.95","111.47","73.52","387.9","5270872","441.43","5998142","308.54","4192449","348.46","4734872","57.32","51","5.7","5411"
"KUL","NRT","JL","2019","4","23.1","5515.54","183.9","90.56","32.95","29.84","586.88","3236961","669.71","3693806","486.27","2682069","550.52","3036413","52.41","30","8.99","5411"
"KUL","NRT","NH","2019","4","19.97","4769.98","159","73.95","34.9","25.81","930.79","4439829","1040.19","4961700","502.31","2396015","567.89","2708836","54.91","30","9.28","5411"
"KUL","NRT","YY","2019","4","0.03","6.22","0.2",,"0","0.03","315.61","1963","447.91","2786","103.09","641","146.3","910","100","0","1.91","5411"
"KUL","NRT","MH","2019","5","51.06","10780.6","347.8","69.8","83.54","58.31","381.01","4107552","430","4635656","312.6","3370055","349.58","3768637","60.07","54","5.78","5409"
"KUL","NRT","NH","2019","5","26","5490.28","177.1","75.34","39.42","29.7","755.59","4148413","856.47","4702275","419.12","2301091","479.07","2630231","58.86","31","7.75","5409"
"KUL","NRT","JL","2019","5","22.92","4838.37","156.1","76.88","34.04","26.17","553.47","2677879","628.38","3040322","442.96","2143211","497.69","2408014","44.1","31","8.19","5409"
"KUL","NRT","YY","2019","5","0.02","5.03","0.2",,"0","0.03","214.5","1079","260.71","1311","214.5","1079","260.71","1311","0.04","0","3.97","5409"
"KUL","NRT","MH","2019","6","46.5","9232.72","307.8","63.3","78.9","49.94","374.12","3454115","427.43","3946312","309.72","2859578","350.21","3233346","49.89","51","5.73","5409"
"KUL","NRT","NH","2019","6","29.37","5831.3","194.4","79.01","39.92","31.54","742.95","4332359","850.65","4960370","389.03","2268566","446.68","2604710","66.71","30","7.19","5409"
"KUL","NRT","JL","2019","6","24.03","4770.79","159","78.35","32.94","25.81","585.09","2791354","665.79","3176336","474.98","2266048","531.96","2537848","46.52","30","8.78","5409"
"KUL","NRT","YY","2019","6","0.11","22.09","0.7",,"0","0.12","222.22","4909","280.53","6197","199.58","4409","248.12","5481","8.96","0","3.69","5409"
"KUL","NRT","MH","2019","7","47.11","10295.73","332.1","67.92","81.99","55.69","387.98","3994557","439.95","4529623","322.68","3322180","362.75","3734792","52.82","53","5.97","5409"
"KUL","NRT","NH","2019","7","27.86","6089.12","196.4","79.85","41.25","32.94","752.95","4584786","863.81","5259819","384.49","2341201","442.81","2696305","67.47","31","7.11","5409"
"KUL","NRT","JL","2019","7","24.92","5447.35","175.7","86.55","34.04","29.46","611.29","3329918","689.4","3755400","510.91","2783113","568.36","3096044","42.55","31","9.45","5409"
"KUL","NRT","YY","2019","7","0.11","23.81","0.8",,"0","0.13","258.68","6159","317.62","7563","229.18","5457","278.03","6620","8.49","0","4.24","5409"
"KUL","NRT","MH","2019","8","53.95","13848.13","446.7","81.65","91.73","74.9","412.01","5705562","457.87","6340688","345.25","4781057","380.5","5269240","53.88","53","6.38","5409"
"KUL","NRT","NH","2019","8","23.1","5929.15","191.3","88.96","36.05","32.07","930.76","5518590","1041.68","6176276","504.68","2992298","567.2","3363018","63.55","31","9.33","5409"
"KUL","NRT","JL","2019","8","22.9","5878.32","189.6","93.42","34.04","31.8","610.94","3591295","683.07","4015316","518.34","3046989","574.77","3378682","47.15","31","9.58","5409"
"KUL","NRT","YY","2019","8","0.06","14.17","0.5",,"0","0.08","441.04","6250","521.34","7387","270.84","3838","319.15","4522","29.03","0","5.01","5409"
"KUL","NRT","MH","2019","9","53.19","12565.91","418.9","86.15","78.9","67.97","393.58","4945706","442.9","5565457","331.3","4163055","369.31","4640667","53.64","51","6.12","5409"
"KUL","NRT","JL","2019","9","23.91","5648.41","188.3","92.74","32.94","30.55","603.17","3406962","680.02","3841059","519.45","2934066","582.38","3289499","44.57","30","9.6","5409"
"KUL","NRT","NH","2019","9","22.86","5399.69","180","83.72","34.89","29.21","902.95","4875667","1021.07","5513480","492.76","2660751","560.27","3025295","63.22","30","9.11","5409"
"KUL","NRT","YY","2019","9","0.04","10.33","0.3",,"0","0.06","343.51","3548","497.51","5139","192.75","1991","254.04","2624","51.33","0","3.56","5409"
"KUL","NRT","MH","2019","10","53.46","12631.45","407.5","83.33","81.99","68.32","403.91","5101916","452.91","5720952","349.49","4414530","389.17","4915783","43.55","53","6.46","5409"
"KUL","NRT","NH","2019","10","23.32","5509.52","177.7","72.54","41.08","29.8","811.74","4472293","915.48","5043854","448.93","2473386","512.51","2823677","58.64","31","8.3","5409"
"KUL","NRT","JL","2019","10","23.2","5482.82","176.9","87.13","34.04","29.66","618.94","3393550","697.97","3826847","536.32","2940568","601.07","3295572","37.68","31","9.92","5409"
"KUL","NRT","YY","2019","10","0.02","5.03","0.2",,"0","0.03","257.31","1294","308.97","1554","257.31","1294","308.97","1554","0.04","0","4.76","5409"
"KUL","NRT","MH","2019","11","48.51","13490.49","449.7","86.07","84.8","72.99","428.56","5781447","476.5","6428193","384.32","5184617","425.45","5739570","38.33","52","7.1","5411"
"KUL","NRT","NH","2019","11","23.23","6459.34","215.3","87.88","39.77","34.95","747.18","4826302","842.89","5444494","449.04","2900523","512.36","3309481","54.09","30","8.3","5411"
"KUL","NRT","JL","2019","11","19.51","5426.88","180.9","89.1","32.95","29.36","632.05","3430064","708.25","3843570","548.48","2976521","611.25","3317160","39.96","30","10.14","5411"
"KUL","NRT","D7","2019","11","8.75","2434.59","81.2","94","14.01","13.17","227.78","554550","289.97","705967","227.07","552820","288.99","703562","0.4","7","4.2","5411"
"KUL","NRT","MH","2019","12","42.2","12851.09","414.6","68.82","101.03","69.53","421.76","5420100","467.81","6011815","384.34","4939164","424.37","5453623","38.25","52","7.1","5411"
"KUL","NRT","NH","2019","12","21","6396.41","206.3","84.23","41.09","34.61","651.68","4168444","743.82","4757778","411.76","2633774","475.16","3039318","61.78","31","7.61","5411"
