"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"SIN","JED","SV","2019","1","54.45","4387.96","141.5","86.61","37.28","32.29","399.82","1754380","457.42","2007148","375.15","1646158","427.49","1875802","30.74","17","5.1","7360"
"SIN","JED","TR","2019","1","45.55","3670.78","118.4","84.31","32.05","27.02","390.33","1432810","453.46","1664542","383.24","1406776","445.21","1634278","7.47","13","5.21","7360"
"SIN","JED","TR","2019","2","53","3551.24","126.8","87.48","29.88","26.14","303.54","1077948","367.24","1304159","301.83","1071862","365.22","1296974","3.08","12","4.1","7360"
"SIN","JED","SV","2019","2","47","3149.11","112.5","66.06","35.09","23.18","383.71","1208353","441.48","1390267","358.64","1129404","411.89","1297071","33.19","16","4.87","7360"
"SIN","JED","SV","2019","3","50.23","3604.02","116.3","67.17","39.48","26.52","365.08","1315759","428.72","1545132","342.67","1234979","401.75","1447926","31.52","18","4.66","7360"
"SIN","JED","TR","2019","3","49.77","3570.98","115.2","82","32.05","26.28","279.04","996432","342.21","1222033","276.32","986738","339","1210577","2.92","13","3.75","7360"
"SIN","JED","TR","2019","4","55.62","3905.75","130.2","91.3","31.48","28.74","311.7","1217420","368.16","1437949","292.99","1144342","347.19","1356026","16.94","13","3.98","7360"
"SIN","JED","SV","2019","4","44.38","3116.11","103.9","61.51","37.28","22.93","400.92","1249306","478.34","1490549","379.27","1181853","448.61","1397931","29.7","17","5.15","7360"
"SIN","JED","TR","2019","5","63.99","4019.84","129.7","93.96","31.48","29.58","367.4","1476883","428.62","1723003","348.01","1398932","406.31","1633304","19.05","13","4.73","7360"
"SIN","JED","SV","2019","5","36.01","2261.77","73","42.17","39.48","16.65","465.71","1053339","548.12","1239730","429.32","971014","501.45","1134159","36.87","18","5.83","7360"
"SIN","JED","TR","2019","6","65.85","2271.68","75.7","86.32","19.37","16.72","287.72","653608","352.11","799872","270.46","614404","331.78","753697","23.26","8","3.67","7360"
"SIN","JED","SV","2019","6","34.15","1178.26","39.3","28.24","30.7","8.67","535.85","631376","610.52","719346","488.64","575745","555.72","654784","57.41","14","6.64","7360"
"SIN","JED","SV","2019","7","63.77","3622.15","116.8","86.84","30.7","26.66","428.76","1553027","499.21","1808222","390.2","1413372","453.03","1640959","76.28","14","5.3","7360"
"SIN","JED","TR","2019","7","36.2","2056.18","66.3","89.26","16.95","15.13","273.48","562326","336.84","692613","258.32","531152","318.72","655341","26.31","7","3.51","7360"
"SIN","JED","SQ","2019","7","0.03","1.74","0.1",,"0","0.01","265.41","462","319.58","556","265.41","462","319.58","556","0.21","0","3.61","7360"
"SIN","JED","TR","2019","8","57.46","3109.33","100.3","93.96","24.35","22.88","322.98","1004252","384.83","1196549","300.23","933503","357.67","1112126","37.97","10","4.08","7360"
"SIN","JED","SV","2019","8","42.54","2302.42","74.3","59.42","28.51","16.94","533.17","1227574","610.41","1405418","485.52","1117868","554.9","1277624","86.91","13","6.6","7360"
"SIN","JED","TR","2019","9","67.3","2798.93","93.3","93.98","21.92","20.6","301.68","844387","361.56","1011985","285.86","800108","342.08","957455","21.72","9","3.88","7360"
"SIN","JED","SV","2019","9","32.7","1360.06","45.3","41.5","24.12","10.01","505.92","688086","586.4","797544","446.36","607070","514.97","700386","75.21","11","6.06","7360"
"SIN","JED","TR","2019","10","66.37","4334.05","139.8","92.46","34.5","31.9","328.5","1423744","417.02","1807384","324.99","1408541","412.91","1789552","7.37","14","4.42","7360"
"SIN","JED","SV","2019","10","33.63","2196.38","70.9","56.68","28.51","16.16","453.19","995369","536.66","1178706","432.01","948862","510.93","1122204","42.56","13","5.87","7360"
"SIN","JED","TR","2019","11","69.63","5354.74","178.5","91.46","43.09","39.41","300.42","1608675","360.2","1928782","298.21","1596845","357.46","1914115","5.36","17","4.05","7360"
"SIN","JED","SV","2019","11","30.37","2336.04","77.9","43.54","39.48","17.19","452.83","1057837","520.64","1216247","426.59","996521","489.75","1144072","33.4","18","5.8","7360"
"SIN","JED","TR","2019","12","68.19","5496.62","177.3","85.48","47.32","40.45","318.61","1751300","380.26","2090160","313.96","1725697","374.74","2059781","14.2","18","4.27","7360"
"SIN","JED","SV","2019","12","31.81","2563.7","82.7","14.11","133.78","18.87","548.09","1405150","631.65","1619368","515.58","1321789","593.14","1520640","34.47","61","7.01","7360"
