"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"SIN","MEL","SQ","2019","1","47.56","35748.32","1153.2","84.31","255.84","215.69","671.06","23989123","735.97","26309785","422.15","15091197","461.26","16489125","84.31","141","7","6033"
"SIN","MEL","QF","2019","1","26.7","20071.26","647.5","83.47","145.08","121.1","651.02","13066822","740.04","14853488","479.4","9622235","538.92","10816812","64.1","62","7.95","6033"
"SIN","MEL","EK","2019","1","12.34","9273.09","299.1","68.8","81.32","55.95","531.42","4927878","615.89","5711173","327.6","3037889","376.34","3489860","67.5","31","5.43","6033"
"SIN","MEL","TR","2019","1","10.72","8056.17","259.9","71.34","68.14","48.61","345.88","2786453","407.15","3280104","324.16","2611510","381.17","3070806","17.94","31","5.37","6033"
"SIN","MEL","JQ","2019","1","2.69","2019.68","65.2","67.01","18.19","12.19","338.75","684165","409.36","826782","300.41","606729","359.29","725654","30.09","9","4.98","6033"
"SIN","MEL","GG","2019","1","0","1.3","0",,"0","0.01","1226.76","1595","1282.04","1667","1226.76","1595","1282.04","1667","-0.19","0","20.33","6033"
"SIN","MEL","CX","2019","1","0","1.01","0",,"0","0.01","3741.77","3779","3795.5","3833","935.2","945","948.62","958","100","0","15.5","6033"
"SIN","MEL","ET","2019","1","0","0.9","0",,"0","0.01","1872.82","1686","2840.82","2557","588.73","530","893.02","804","100","0","9.76","6033"
"SIN","MEL","SQ","2019","2","47.17","32932.44","1176.2","85.6","232.12","198.7","589.37","19409514","652.68","21494414","384.03","12647141","424.07","13965751","84.82","128","6.37","6033"
"SIN","MEL","QF","2019","2","28.76","20080.89","717.2","93.92","129","121.16","545.73","10958715","660.72","13267858","373.1","7492093","443.37","8903294","73.88","55","6.18","6033"
"SIN","MEL","TR","2019","2","10.5","7331.11","261.8","78.2","56.56","44.23","216.73","1588881","274.39","2011552","203.83","1494273","258.55","1895430","11.46","25","3.38","6033"
