"Origin Airport","Destination Airport","Operating Airline","Year","Month","Airline Share","Passengers","PPDEW","Load Factor","ASK (Millions)","RPK (Millions)","OD Avg. Base Fare(USD)","OD Base Revenue(USD)","OD Avg. Total Fare(USD)","OD Total Revenue(USD)","Leg Avg. Base Fare (USD) Stline","Leg Base Revenue (USD) Stline","Leg Avg. Total Fare (USD) Stline","Leg Total Revenue (USD) Stline","Flow Share","Departures","Yield(Cent/KM)","Distance (km)"
"SIN","SYD","SQ","2019","1","53.48","42628.97","1375.1","83.74","320.39","268.31","696.83","29705315","770.11","32828969","463.03","19738330","509.5","21719357","77.99","155","7.36","6294"
"SIN","SYD","QF","2019","1","28.41","22643.66","730.4","83.17","171.35","142.52","741.27","16785099","870.53","19711884","495.55","11221129","569.35","12892123","65.29","75","7.87","6294"
"SIN","SYD","BA","2019","1","9.79","7799.51","251.6","84.71","57.95","49.09","781.35","6094182","1072.05","8361441","365.04","2847107","494.2","3854509","76.53","31","5.8","6294"
"SIN","SYD","TR","2019","1","4.74","3779.38","121.9","73.93","32.18","23.79","293.16","1107973","363.55","1373982","268.8","1015892","333.49","1260392","24.39","14","4.27","6294"
"SIN","SYD","??","2019","1","3.56","2841.33","91.7",,"0","17.88","509.85","1448646","571.8","1624664","509.85","1448646","571.8","1624664","0","0","8.1","6294"
"SIN","SYD","ZZ","2019","1","0.01","5.33","0.2",,"0","0.03","360.97","1924","421.46","2246","320.03","1706","373.57","1991","76.56","0","5.08","6294"
"SIN","SYD","JQ","2019","1","0.01","4.91","0.2",,"0","0.03","221.1","1086","279.8","1374","221.1","1086","279.8","1374","0.07","0","3.51","6294"
"SIN","SYD","SQ","2019","2","53.9","39155.34","1398.4","85.28","289","246.45","615.03","24081712","688.49","26957944","421.32","16496798","469.85","18397184","77.15","140","6.69","6294"
"SIN","SYD","QF","2019","2","31.17","22642.64","808.7","93.62","152.24","142.52","661.54","14978987","797.36","18054328","419.07","9488821","492.72","11156454","69.31","68","6.66","6294"
"SIN","SYD","BA","2019","2","9.56","6941.45","247.9","83.47","52.34","43.69","680.99","4727069","962.22","6679235","314.66","2184168","446.81","3101477","71.63","28","5","6294"
"SIN","SYD","TR","2019","2","5.37","3901.58","139.3","90.39","27.17","24.56","182.7","712816","251.28","980379","168.12","655942","231.97","905042","14.87","12","2.67","6294"
"SIN","SYD","JQ","2019","2","0","2.88","0.1",,"0","0.02","180.67","520","222.18","640","180.67","520","222.18","640","0.15","0","2.87","6294"
"SIN","SYD","XX","2019","2","0","2.78","0.1",,"0","0.02","1348.47","3749","1418.42","3943","1348.47","3749","1418.42","3943","0.01","0","21.42","6294"
"SIN","SYD","SQ","2019","3","55.35","38167.19","1231.2","74.89","320.78","240.23","626.31","23904680","700.17","26723423","450.33","17187747","501.27","19132018","69.57","155","7.15","6294"
"SIN","SYD","QF","2019","3","30.47","21014.34","677.9","83.58","158.25","132.27","666.29","14001547","793.7","16678987","429.57","9027146","501.58","10540312","62.63","68","6.82","6294"
"SIN","SYD","BA","2019","3","8.6","5934.11","191.4","64.45","57.95","37.35","813.79","4829143","1109.61","6584525","368.39","2186046","503.5","2987824","73.47","31","5.85","6294"
"SIN","SYD","TR","2019","3","5.58","3846.34","124.1","88.16","27.46","24.21","142.95","549832","209.16","804516","134.97","519154","198.69","764211","10.41","12","2.14","6294"
"SIN","SYD","SQ","2019","4","53.84","38992.14","1299.7","76.27","321.76","245.42","631.74","24632753","708.77","27636277","445.83","17383956","497.29","19390592","72.55","150","7.08","6294"
"SIN","SYD","QF","2019","4","24.98","18094.73","603.2","78.78","144.57","113.89","722.08","13065922","838.96","15180757","476.36","8619594","544.22","9847509","56.9","60","7.57","6294"
"SIN","SYD","TR","2019","4","10.73","7770.83","259","73.75","66.32","48.91","243.44","1891740","313.09","2432967","238.33","1851992","306.19","2379340","7.67","29","3.79","6294"
"SIN","SYD","BA","2019","4","10.45","7568.54","252.3","84.95","56.08","47.64","707.29","5353151","995.47","7534227","331.3","2507484","462.12","3497595","74.7","30","5.26","6294"
"SIN","SYD","JQ","2019","4","0","2.59","0.1",,"0","0.02","356.68","924","417.64","1082","327.02","847","383.61","994","48.49","0","5.2","6294"
"SIN","SYD","SQ","2019","5","56.65","39318.23","1268.3","74.43","332.48","247.48","637.92","25082051","716.31","28164101","444.21","17465636","497.05","19543249","70.81","155","7.06","6294"
"SIN","SYD","QF","2019","5","28.49","19770.86","637.8","82.92","150.07","124.44","709.58","14029078","825.01","16311094","437.28","8645325","503.01","9944895","58.99","62","6.95","6294"
"SIN","SYD","BA","2019","5","11.19","7763.62","250.4","84.33","57.95","48.87","812.66","6309183","1117.89","8678878","346.43","2689562","476.63","3700397","79.56","31","5.5","6294"
"SIN","SYD","TR","2019","5","3.59","2494.18","80.5","79.86","19.66","15.7","162.59","405525","245.36","611965","154.87","386270","234.86","585773","13.17","9","2.46","6294"
"SIN","SYD","9W","2019","5","0.07","47.82","1.5",,"0","0.3","271.64","12990","331.52","15853","269.59","12892","328.67","15717","2.02","0","4.28","6294"
"SIN","SYD","JQ","2019","5","0.01","6.97","0.2",,"0","0.04","151.71","1057","193.5","1349","151.71","1057","193.5","1349","0.01","0","2.41","6294"
"SIN","SYD","ZZ","2019","5","0","1.29","0",,"0","0.01","1364.49","1760","1436.19","1853","1364.49","1760","1436.19","1853","0.27","0","21.68","6294"
"SIN","SYD","SQ","2019","6","51.98","34599.42","1153.3","67.68","321.76","217.77","645.36","22329038","726.85","25148647","425.55","14723921","477.17","16509705","73.83","150","6.76","6294"
"SIN","SYD","QF","2019","6","24.41","16249","541.6","70.74","144.58","102.27","768.59","12488802","889.84","14458995","435.2","7071506","499.64","8118717","63.61","60","6.91","6294"
"SIN","SYD","TR","2019","6","11.92","7930.93","264.4","59.25","84.26","49.92","263.14","2086908","326.36","2588340","259.09","2054852","321.4","2549024","3.93","37","4.12","6294"
"SIN","SYD","BA","2019","6","11.66","7761.28","258.7","87.11","56.08","48.85","767.87","5959687","1082.44","8401108","320.78","2489695","452.79","3514216","82.05","30","5.1","6294"
"SIN","SYD","9W","2019","6","0.02","16.12","0.5",,"0","0.1","256.78","4139","318.72","5138","256.78","4139","318.72","5138","0","0","4.08","6294"
"SIN","SYD","MI","2019","6","0","2.11","0.1",,"0","0.01","238.22","503","299.27","631","229.81","485","288.51","609","43.7","0","3.65","6294"
"SIN","SYD","ZZ","2019","6","0","1.15","0",,"0","0.01","1286.89","1480","1353.22","1556","1286.89","1480","1353.22","1556","-0.07","0","20.45","6294"
"SIN","SYD","SQ","2019","7","54.63","45538.94","1469","84.72","338.34","286.63","723.8","32961245","813.06","37026043","444.59","20246148","496.23","22597981","76.81","155","7.06","6294"
"SIN","SYD","QF","2019","7","24.9","20757.58","669.6","87.06","150.07","130.65","854.67","17740821","988.82","20525493","501.07","10400961","570.01","11832119","64.21","62","7.96","6294"
"SIN","SYD","BA","2019","7","10.38","8652","279.1","93.98","57.95","54.46","860.25","7442926","1180.38","10212624","348.05","3011310","477.99","4135550","85.72","31","5.53","6294"
"SIN","SYD","TR","2019","7","10.09","8407.48","271.2","71","74.53","52.92","243.16","2044367","307.89","2588598","230.3","1936201","291.97","2454733","9.6","33","3.66","6294"
"SIN","SYD","ET","2019","7","0","2.88","0.1",,"0","0.02","331.57","955","524.3","1510","123.8","357","197.14","568","100","0","1.97","6294"
"SIN","SYD","CX","2019","7","0","1.27","0",,"0","0.01","350.53","445","501.91","637","350.53","445","501.91","637","0.33","0","5.57","6294"
"SIN","SYD","SQ","2019","8","53.73","41536.57","1339.9","81.46","320.96","261.44","623.91","25915142","711.57","29556305","401.5","16676822","453.58","18839987","76.49","155","6.38","6294"
"SIN","SYD","QF","2019","8","26.13","20199.28","651.6","85.31","149.04","127.14","674.31","13620587","806.89","16298513","403.55","8151355","472.19","9537944","65.45","62","6.41","6294"
"SIN","SYD","BA","2019","8","11.18","8643.3","278.8","93.87","57.95","54.4","707.39","6114196","1028.27","8887686","296.86","2565872","428.28","3701711","84.78","31","4.72","6294"
"SIN","SYD","TR","2019","8","8.94","6910.68","222.9","68.36","63.63","43.5","225.53","1558586","295.58","2042641","216.67","1497365","284.68","1967361","6.76","28","3.44","6294"
"SIN","SYD","JQ","2019","8","0.01","4.19","0.1",,"0","0.03","119.75","502","149.89","628","119.75","502","149.89","628","-0.03","0","1.9","6294"
"SIN","SYD","EI","2019","8","0","3.81","0.1",,"0","0.02","183.39","699","253.79","967","183.39","699","253.79","967","0.08","0","2.91","6294"
