Carrier Code,Dep City Code,Dep City Name,Arr City Code,Arr City Name,General Aircraft Code,General Aircraft Name,Specific Aircraft Code,Specific Aircraft Name,Seats,Stopping City,GCD (km),Frequency,Seats (Total),Time series
"3K","BKK","Bangkok","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","110","19800","2019-10-01"
"3K","CRK","Angeles/Mabalacat","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","27","4860","2019-01-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","18","3240","2019-03-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","17","3060","2019-06-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","17","3060","2019-09-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","23","4140","2019-12-01"
"3K","DPS","Denpasar-Bali","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","80","14400","2019-03-01"
"3K","DPS","Denpasar-Bali","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","60","10800","2019-06-01"
"3K","DRW","Darwin","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","23","4140","2019-08-01"
"3K","DRW","Darwin","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","22","3960","2019-11-01"
"3K","HAK","Haikou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2181","23","4140","2019-03-01"
"3K","HAK","Haikou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2181","22","3960","2019-06-01"
"3K","HFE","Hefei","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3666","13","2340","2019-12-01"
"3K","HKG","Hong Kong","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","30","5400","2019-06-01"
"3K","HKG","Hong Kong","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","30","5400","2019-09-01"
"3K","HKG","Hong Kong","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","26","4680","2019-12-01"
"3K","KUL","Kuala Lumpur","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","296","133","23940","2019-12-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","4","720","2019-04-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","4","720","2019-07-01"
"3K","MES","Medan","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","621","36","6480","2019-02-01"
"3K","MNL","Manila","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2374","74","13320","2019-09-01"
"3K","MNL","Manila","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2374","89","16020","2019-12-01"
"3K","OKA","Okinawa","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3742","16","2880","2019-02-01"
"3K","PKU","Pekanbaru","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","299","5","900","2019-01-01"
"3K","PLM","Palembang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","476","5","900","2019-01-01"
"3K","PNH","Phnom Penh","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1135","51","9180","2019-05-01"
"3K","PNH","Phnom Penh","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1135","48","8640","2019-08-01"
"3K","PNH","Phnom Penh","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1135","47","8460","2019-11-01"
"3K","REP","Siem Reap","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1339","22","3960","2019-03-01"
"3K","SGN","Ho Chi Minh City","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1091","82","14760","2019-02-01"
"3K","SIN","Singapore","BKK","Bangkok","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","110","19800","2019-10-01"
"3K","SIN","Singapore","CRK","Angeles/Mabalacat","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","27","4860","2019-01-01"
"3K","SIN","Singapore","DAD","Da Nang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","18","3240","2019-03-01"
"3K","SIN","Singapore","DAD","Da Nang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","17","3060","2019-06-01"
"3K","SIN","Singapore","DAD","Da Nang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","17","3060","2019-09-01"
"3K","SIN","Singapore","DAD","Da Nang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","23","4140","2019-12-01"
"3K","SIN","Singapore","DPS","Denpasar-Bali","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","80","14400","2019-03-01"
"3K","SIN","Singapore","DPS","Denpasar-Bali","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","60","10800","2019-06-01"
"3K","SIN","Singapore","DRW","Darwin","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","23","4140","2019-08-01"
"3K","SIN","Singapore","DRW","Darwin","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","22","3960","2019-11-01"
"3K","SIN","Singapore","HAK","Haikou","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2181","23","4140","2019-03-01"
"3K","SIN","Singapore","HAK","Haikou","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2181","22","3960","2019-06-01"
"3K","SIN","Singapore","HFE","Hefei","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3666","13","2340","2019-12-01"
"3K","SIN","Singapore","HKG","Hong Kong","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","30","5400","2019-06-01"
"3K","SIN","Singapore","HKG","Hong Kong","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","30","5400","2019-09-01"
"3K","SIN","Singapore","HKG","Hong Kong","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","26","4680","2019-12-01"
"3K","SIN","Singapore","KUL","Kuala Lumpur","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","296","133","23940","2019-12-01"
"3K","SIN","Singapore","KWE","Guiyang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","4","720","2019-04-01"
"3K","SIN","Singapore","KWE","Guiyang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","4","720","2019-07-01"
"3K","SIN","Singapore","MES","Medan","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","621","36","6480","2019-02-01"
"3K","BKK","Bangkok","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","107","19260","2019-09-01"
"3K","BKK","Bangkok","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","110","19800","2019-12-01"
"3K","CRK","Angeles/Mabalacat","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","27","4860","2019-02-01"
"3K","CRK","Angeles/Mabalacat","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","41","7380","2019-05-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","16","2880","2019-02-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","18","3240","2019-05-01"
"3K","DAD","Da Nang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","18","3240","2019-08-01"
"3K","DPS","Denpasar-Bali","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","78","14040","2019-02-01"
"3K","DPS","Denpasar-Bali","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1669","62","11160","2019-05-01"
"3K","DRW","Darwin","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","26","4680","2019-04-01"
"3K","DRW","Darwin","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","28","5040","2019-07-01"
"3K","DRW","Darwin","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","3336","21","3780","2019-10-01"
"3K","HAK","Haikou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2181","20","3600","2019-02-01"
"3K","HKG","Hong Kong","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2562","31","5580","2019-10-01"
"3K","KUL","Kuala Lumpur","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","296","129","23220","2019-08-01"
"3K","KUL","Kuala Lumpur","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","296","118","21240","2019-11-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","1","180","2019-02-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","5","900","2019-05-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","5","900","2019-08-01"
"3K","KWE","Guiyang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2815","4","720","2019-11-01"
"3K","PNH","Phnom Penh","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1135","48","8640","2019-09-01"
"3K","PNH","Phnom Penh","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1135","51","9180","2019-12-01"
"3K","REP","Siem Reap","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1339","22","3960","2019-01-01"
"3K","REP","Siem Reap","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1339","26","4680","2019-04-01"
"3K","REP","Siem Reap","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1339","26","4680","2019-07-01"
"3K","SGN","Ho Chi Minh City","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1091","93","16740","2019-03-01"
"3K","SGN","Ho Chi Minh City","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1091","90","16200","2019-06-01"
"3K","SIN","Singapore","BKK","Bangkok","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","107","19260","2019-09-01"
"3K","SIN","Singapore","BKK","Bangkok","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1416","110","19800","2019-12-01"
"3K","SIN","Singapore","CRK","Angeles/Mabalacat","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","27","4860","2019-02-01"
"3K","SIN","Singapore","CRK","Angeles/Mabalacat","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","2380","41","7380","2019-05-01"
"3K","SIN","Singapore","DAD","Da Nang","32S","Airbus A318/319/320/321","320","Airbus A320","180","0","1695","16","2880","2019-02-01"
