Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
LOCAL,KUL,PER,D7,KUL,KUALA LUMPUR,PER,PERTH,Discount Coach,2019,1,   ,   ,   ,D7,  ,  ,  ,9349,55.12,515284,55,515307
LOCAL,KUL,PER,??,KUL,KUALA LUMPUR,PER,PERTH,Discount Coach,2019,1,   ,   ,   ,??,  ,  ,  ,2299,189.01,434582,189,434576
LOCAL,KUL,PER,OD,KUL,KUALA LUMPUR,PER,PERTH,Discount Coach,2019,1,   ,   ,   ,OD,  ,  ,  ,2182,237.82,518865,238,519134
BEHIND,KUL,PER,MH,MNL,MANILA,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,1426,308.29,439692,193,274704
BEHIND,KUL,PER,OD,COK,KOCHI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,1381,355.74,491161,209,288116
LOCAL,KUL,PER,MH,KUL,KUALA LUMPUR,PER,PERTH,Discount Coach,2019,1,   ,   ,   ,MH,  ,  ,  ,876,239.79,209955,240,209914
BEHIND,KUL,PER,OD,CMB,COLOMBO,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,696,392.25,273149,246,171022
BEHIND,KUL,PER,MH,LHR,LONDON,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,568,458.72,260374,129,73133
BEHIND,KUL,PER,MH,NRT,TOKYO,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,510,367.74,187546,159,81333
BEHIND,KUL,PER,OD,ATQ,AMRITSAR,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,349,319.44,111419,157,54773
BEHIND,KUL,PER,MH,BOM,MUMBAI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,259,417.37,107915,222,57488
BEHIND,KUL,PER,OD,DMK,BANGKOK,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,253,306.35,77616,235,59626
BEHIND,KUL,PER,OD,HKT,PHUKET,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,250,263.91,65907,226,56353
BEHIND,KUL,PER,OD,DAC,DHAKA,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,249,292.76,72843,179,44468
BEHIND,KUL,PER,MH,ICN,SEOUL,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,242,386.3,93431,183,44209
BEHIND,KUL,PER,MH,HKT,PHUKET,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,220,276.59,60820,236,52000
BEHIND,KUL,PER,OD,DEL,DELHI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,216,480.59,103807,248,53544
BEHIND,KUL,PER,OD,HAN,HANOI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,211,302.25,63727,200,42271
BEHIND,KUL,PER,MH,SGN,HO CHI MINH CITY,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,209,296.09,61803,236,49270
BEHIND,KUL,PER,OD,PEN,PENANG,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,187,222.47,41562,206,38515
BEHIND,KUL,PER,OD,TRZ,TIRUCHIRAPALLY,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,175,235.16,41146,143,24956
BEHIND,KUL,PER,OD,MAA,CHENNAI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,ID,OD,  ,  ,174,390.37,67769,239,41438
BEHIND,KUL,PER,OD,KTM,KATHMANDU,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,169,421.08,71276,236,39880
BEHIND,KUL,PER,MH,BKK,BANGKOK,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,163,328.46,53677,254,41477
BEHIND,KUL,PER,OD,PNH,PHNOM PENH,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,161,299.16,48239,239,38520
LOCAL,KUL,PER,MH,KUL,KUALA LUMPUR,PER,PERTH,Business,2019,1,   ,   ,   ,MH,  ,  ,  ,155,661.55,102685,661,102590
BEHIND,KUL,PER,OD,BOM,MUMBAI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,141,469.25,66164,250,35292
BEHIND,KUL,PER,MH,MAA,CHENNAI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,138,349.89,48170,214,29458
BEHIND,KUL,PER,MH,BLR,BENGALURU,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,136,372.08,50451,219,29744
LOCAL,KUL,PER,OD,KUL,KUALA LUMPUR,PER,PERTH,Business,2019,1,   ,   ,   ,OD,  ,  ,  ,135,486.76,65673,487,65743
BEHIND,KUL,PER,MH,DEL,DELHI,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,135,380.71,51304,197,26483
BEHIND,KUL,PER,MH,RGN,YANGON,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,131,246.14,32203,175,22876
BEHIND,KUL,PER,MH,PEN,PENANG,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,MH,MH,  ,  ,101,228.54,23194,212,21496
BEHIND,KUL,PER,OD,TRV,THIRUVANANTHAPURAM,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,OD,OD,  ,  ,88,279.75,24537,167,14611
BEHIND,KUL,PER,MH,CMB,COLOMBO,PER,PERTH,Discount Coach,2019,1,KUL,   ,   ,UL,MH,  ,  ,86,353.14,30239,221,18939
