Leg Type,Leg Origin Airport,Leg Destination Airport,Leg Operating Airline,Origin Airport,Origin City Name,Destination Airport,Destination City Name,Cabin Class,Year,Month,Leg 2,Leg 3,Leg 4,Leg 1 Operating Airline,Leg 2 Operating Airline,Leg 3 Operating Airline,Leg 4 Operating Airline,Passengers,OD Avg. Base Fare(USD),OD Base Revenue(USD),Leg Avg. Base Fare (USD) Stline,Leg Base Revenue (USD) Stline
LOCAL,SIN,SYD,SQ,SIN,SINGAPORE,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,SQ,  ,  ,  ,7023.49,397.82,2794056,397.92,2794801
LOCAL,SIN,SYD,QF,SIN,SINGAPORE,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,QF,  ,  ,  ,6331.56,483.65,3062231,483.09,3058730
BEHIND,SIN,SYD,SQ,LHR,LONDON,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,2903.52,652.11,1893403,239.03,694023
LOCAL,SIN,SYD,TR,SIN,SINGAPORE,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,TR,  ,  ,  ,2858.25,271.4,775740,271.46,775898
LOCAL,SIN,SYD,??,SIN,SINGAPORE,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,??,  ,  ,  ,2841.33,509.85,1448646,509.85,1448652
BEHIND,SIN,SYD,SQ,DEL,DELHI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,2288.91,469.94,1075639,282.99,647736
LOCAL,SIN,SYD,SQ,SIN,SINGAPORE,SYD,SYDNEY,Business,2019,1,   ,   ,   ,SQ,  ,  ,  ,2246.3,1441.05,3237023,1442.53,3240364
BEHIND,SIN,SYD,SQ,BOM,MUMBAI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,1846.13,533.91,985671,328.96,607308
BEHIND,SIN,SYD,QF,LHR,LONDON,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,QF,QF,  ,  ,1547.54,710.43,1099419,260.18,402636
BEHIND,SIN,SYD,BA,LHR,LONDON,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,BA,BA,  ,  ,1522.56,481.5,733108,176.48,268700
BEHIND,SIN,SYD,QF,DEL,DELHI,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,9W,QF,  ,  ,1368.54,352.75,482749,212.36,290625
LOCAL,SIN,SYD,BA,SIN,SINGAPORE,SYD,SYDNEY,Discount Coach,2019,1,   ,   ,   ,BA,  ,  ,  ,1079.01,299.8,323483,299.75,323434
LOCAL,SIN,SYD,QF,SIN,SINGAPORE,SYD,SYDNEY,Business,2019,1,   ,   ,   ,QF,  ,  ,  ,1067.41,1555.43,1660284,1552.39,1657034
BEHIND,SIN,SYD,SQ,CMB,COLOMBO,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,SQ,SQ,  ,  ,1062.09,522.74,555199,364.03,386633
BEHIND,SIN,SYD,SQ,PNH,PHNOM PENH,SYD,SYDNEY,Discount Coach,2019,1,SIN,   ,   ,MI,SQ,  ,  ,969.06,446.74,432921,378.4,366697
